No.,Cong ty,Chuc danh,Nguoi lien he,SDT,Lien He,Email,Lien He mail,Dia chi,Luong,Ngay dang,Han tuyen,Check gui,Last Subject,Last Body HTML,Trang thai Reply,Lan Follow-up,Ngay Follow-up gan nhat,Mailbox da dung,Category,Link FB
1,GARUDA A/S LEDELSE OG UDVIKLING,,,,https://www.proff.dk/firma/garuda-as-ledelse-og-udvikling/risskov/arbejdskrafts-tjenester/GKQCBLI10LU,garuda@garuda.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
2,Workforce Connect ApS,,,+4530503525,https://www.workforceconnect.dk/,martin@workforceconnect.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
3,Hammer Andersen ApS,,,70274777,https://www.proff.dk/firma/hammer-andersen-aps/lystrup/arbejdskrafts-tjenester/H0HB3AI10LU,ha@hammerandersen.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
4,Professionel Rengøring ApS,,,28678290,https://professionelren.dk/,zoltan@Professionelren.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
5,Bech Personale ApS,,,+4572108545,https://www.proff.dk/firma/bech-personale-aps/herning/arbejdskrafts-tjenester/H0DI5JI10LU,aarhus@bechpersonale.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
6,Workforce Support ApS,,,+4551915922,https://www.workforcesupport.dk/,tk@workforcesupport.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
7,John Farm ApS,,,50191531,https://john-farm.dk/,johnfarmivs@yahoo.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
8,Bixter.dk ApS,,,+4571747504,https://bixter.com/,info@bixter.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
9,JKS Tech&Metal,,,86423540,https://www.proff.dk/firma/jks-techmetal/randers-c/arbejdskrafts-tjenester/H1MEV8I10LU,career@jks.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
10,Carelink A/S - Vejle,,,+4586133110,https://www.proff.dk/firma/carelink-as-vejle/vejle/arbejdskrafts-tjenester/H21CJTI10LU,finance@carelink.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
11,Handicapformidlingen Ballerup,,,+4570777333,https://www.proff.dk/firma/handicapformidlingen-ballerup/ballerup/arbejdskrafts-tjenester/H28RA5I10LU,info@handicapformidlingen.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
12,Construction afdeling,,,+4570201835,https://www.proff.dk/firma/construction-afdeling/svenstrup-j/arbejdskrafts-tjenester/H1BYMUI10LU,info@moment.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
13,SAS CONNECT CREW SERVICES A/S,,,,https://www.proff.dk/firma/sas-connect-crew-services-as/kastrup/arbejdskrafts-tjenester/0OEO5HI10LU,hr-sharedservicesdk@sas.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
14,SIEMENS A/S,,,+4544774477,https://www.proff.dk/firma/siemens-as/brande/arbejdskrafts-tjenester/H1RRG0I10LU,post.dk@siemens.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
15,Deel Denmark ApS,,,,https://www.proff.dk/firma/deel-denmark-aps/s%C3%B8borg/arbejdskrafts-tjenester/0P8A8II10LU,hanne.sorensen@deel.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
16,NNE / NN Kalundborg,,,+4570605606,https://www.proff.dk/firma/nne-nn-kalundborg/kalundborg/arbejdskrafts-tjenester/H27N9LI10LU,contact@npgroup.eu,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
17,Actief Hartmanns A/S,,,+4570200383,https://www.proff.dk/firma/actief-hartmanns-as/s%C3%B8nderborg/arbejdskrafts-tjenester/H2GHIKI10LU,info@actief-hartmanns.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
18,Altid Vikar Århus,,,+4570444404,https://www.proff.dk/firma/altid-vikar-%C3%A5rhus/aarhus-c/arbejdskrafts-tjenester/H17465I10LU,kontakt@altidvikar.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
19,Viktech P/S - Kalundborg,,,70209043,https://www.proff.dk/firma/viktech-ps-kalundborg/kalundborg/arbejdskrafts-tjenester/H0V1INI10LU,jle@viktech.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
20,EUROJOBS Personaldienstleistungen ApS,,,+4570726947,https://www.proff.dk/firma/eurojobs-personaldienstleistungen-aps/k%C3%B8benhavn-k/arbejdskrafts-tjenester/0QSTXHI10LU,danmark@eurojobs.eu,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
21,SEAMAR SCANDINAVIA A/S,,,+4598441744,https://www.proff.dk/firma/seamar-scandinavia-as/aalborg-%C3%B8st/arbejdskrafts-tjenester/GTFN1CI10LU,info@seamar.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
22,OUHPT,,,+4547770957,https://www.proff.dk/firma/ouhpt/odense-c/arbejdskrafts-tjenester/H1R5USI10LU,info@megaflex.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
23,Flair Group ApS,,,+4538889400,https://www.proff.dk/firma/flair-group-aps/n%C3%B8rresundby/arbejdskrafts-tjenester/H2URX3I10LU,flair@flair.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
