orgnr,name,legal_name,phone,phone_all,email,website,address,postal_code,city,municipality,county,region,employees,contact_name,contact_role,revenue,profit,currency,status,company_id,proff_url,brreg_url,Check gui,nace_code,nace_name,legal_form,status_brreg
'936463843,Bluecrew AS,Bluecrew AS,'92328850,'92328850,isak.didriksson@gmail.com,https://bluecrew.no/,Storgata 11,9405,Harstad,Harstad,Troms,Nord-Norge,38,Isak Leo Didriksson,Daglig leder,245,13,NOK,,IFHJO4J10LU-2,https://www.proff.no/selskap/bluecrew-as/harstad/arbeidskrafttjenester/IFHJO4J10LU-2,https://virksomhet.brreg.no/nb/oppslag/enheter/936463843,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'998796369,Innleie og Rekruttering AS avd Haugesund,Innleie og Rekruttering AS avd Haugesund,'+4752695260,,mail@iogr.no,https://www.iogr.no,Frakkagjerdvegen 207,5563,Førresfjorden,Tysvær,Rogaland,Vestlandet,1 - 4,,,,,NOK,,IGIOBHJ10LU,https://www.proff.no/selskap/innleie-og-rekruttering-as-avd-haugesund/f%C3%B8rresfjorden/arbeidskrafttjenester/IGIOBHJ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/998796369,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'912355586,PUBLIQ AS,Publiq AS,'37 17 96 00,'37 17 96 00,post@publiq.no,https://publiq.no,Brokelandsheia 88,4993,Sundebru,Gjerstad,Agder,Sørlandet,271,Asle Nersten,Daglig leder,355599,21572,NOK,,IF36Y2Q10LU,https://www.proff.no/selskap/publiq-as/sundebru/arbeidskrafttjenester/IF36Y2Q10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/912355586,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'982683955,Experis AS,Experis AS,'22018100,'22018100,firmapost@no.experis.com,https://www.experis.no,Lakkegata 53,0187,Oslo,Oslo,Oslo,Østlandet,402,Kjell Arne Yttervik,Daglig leder,1281508,-101208,NOK,,IG92BSJ10LU,https://www.proff.no/selskap/experis-as/oslo/arbeidskrafttjenester/IG92BSJ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/982683955,OK,62.200,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,AS,Aktiv
'987445378,Temp Team AS avd Kristiansand,Temp Team AS avd Kristiansand,'+4722059600,,post@temp-team.no,https://www.temp-team.no,Skibåsen 39,4636,Kristiansand S,Kristiansand,Agder,Sørlandet,8,,,,,NOK,,IGCHBEU10LU,https://www.proff.no/selskap/temp-team-as-avd-kristiansand/kristiansand-s/arbeidskrafttjenester/IGCHBEU10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/987445378,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'932373882,ACROBOAT AS,Acroboat AS,'97 67 03 88,'97 67 03 88,vegard@acroboat.no,https://acroboat.no,Forraveien 43,9303,Silsand,Senja,Troms,Nord-Norge,89,Vegard Kulseng-Hansen,Daglig leder,37804,612,NOK,,IFF40AI10LU,https://www.proff.no/selskap/acroboat-as/silsand/arbeidskrafttjenester/IFF40AI10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/932373882,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'816301742,MOSAIQUE HEADHUNTING STAVANGER AS,Mosaique Headhunting AS,'976 93 096,'976 93 096,post@mosaique.no,https://www.mosaique.no,Grenseveien 21,4313,Sandnes,Sandnes,Rogaland,Vestlandet,5,Roar Dybing,Daglig leder,5238,-2217,NOK,,IDI06GE10LU,https://www.proff.no/selskap/mosaique-headhunting-stavanger-as/sandnes/arbeidskrafttjenester/IDI06GE10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/816301742,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Konkurs
'915765602,Rexor Marine AS Bemanning,Rexor Marine AS Bemanning,'99099732,'99099732,kontakt@rexor.no,https://www.rexor.no,Bygg 1,4014,Stavanger,Stavanger,Rogaland,Vestlandet,11,,,,,NOK,,IDHPMGE10LU,https://www.proff.no/selskap/rexor-marine-as-bemanning/stavanger/arbeidskrafttjenester/IDHPMGE10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/915765602,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'919322705,Q10 Offshore AS,Q10 Offshore AS,,,,,Sverdrups gate 21,4007,Stavanger,Stavanger,Rogaland,Vestlandet,65,Tord Løberg,Daglig leder,31717,529,NOK,,IF7C9XT10LU,https://www.proff.no/selskap/q10-offshore-as/stavanger/arbeidskrafttjenester/IF7C9XT10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/919322705,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'927634287,OSLOKOLLEGA UTVIKLING AS,Oslokollega Utvikling AS,'23 16 76 50,'23 16 76 50,firmapost@oslokollega.no,https://oslokollega.no,Cecilie Thoresens vei 11,1153,Oslo,Oslo,Oslo,Østlandet,16,Andreas Alexander Berfenstam,Daglig leder,13144,-1436,NOK,,IFCAF7310LU,https://www.proff.no/selskap/oslokollega-utvikling-as/oslo/arbeidskrafttjenester/IFCAF7310LU,https://virksomhet.brreg.no/nb/oppslag/enheter/927634287,OK,88.993,Arbeidstrening og varig tilrettelagt arbeid,AS,Aktiv
'919217561,Lv Tekniske AS avd Nesttun,Lv Tekniske AS avd Nesttun,,,,,Hardangervegen 72,5224,Nesttun,Bergen,Vestland,Vestlandet,71,,,,,NOK,,IF7CJ8A10LU,https://www.proff.no/selskap/lv-tekniske-as-avd-nesttun/nesttun/arbeidskrafttjenester/IF7CJ8A10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/919217561,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'921976011,NAPIER AS,Napier AS,'53424400,'53424400,kjetil@napier.no,https://napier.no,Hovlandsvegen 18,5443,Bømlo,Bømlo,Vestland,Vestlandet,159,Kjetil Tufteland,Daglig leder,98519,512,NOK,,IF8X58R10LU,https://www.proff.no/selskap/napier-as/b%C3%B8mlo/arbeidskrafttjenester/IF8X58R10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/921976011,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'976568095,Vex Bemanning og Rekruttering AS,Vex Bemanning og Rekruttering AS,'91786621,'91786621,linda@vex.no.no,https://www.vex.no,Tytebærbrekko 2,5353,Straume,Øygarden,Vestland,Vestlandet,19,,,,,NOK,,IG5F94N10LU,https://www.proff.no/selskap/vex-bemanning-og-rekruttering-as/straume/arbeidskrafttjenester/IG5F94N10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/976568095,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'937081987,BLUE WHALE CONSULTING AS,Blue Whale Consulting AS,'46965928,'46965928,contact@bluewhale.no,https://www.bluewhale.no,Sørsletta 12B,0756,Oslo,Oslo,Oslo,Østlandet,,Rafael Costa Francisco,Daglig leder,,,NOK,,IFHWX3710LU,https://www.proff.no/selskap/blue-whale-consulting-as/oslo/arbeidskrafttjenester/IFHWX3710LU,https://virksomhet.brreg.no/nb/oppslag/enheter/937081987,OK,70.200,Bedriftsrådgivning og annen administrativ rådgivning,AS,Aktiv
'935979250,BLÅ BEMANNING AS,Blå Bemanning AS,'918 74 822,'918 74 822,ludvikhestnes@gmail.com,,Ulvøyveien 13,7242,Knarrlaget,Hitra,Trøndelag,Midt-Norge,10,Ludvik Kristoffer Hestnes,Daglig leder,934,307,NOK,,IFH9A7M10LU,https://www.proff.no/selskap/bl%C3%A5-bemanning-as/knarrlaget/arbeidskrafttjenester/IFH9A7M10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/935979250,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
