No.,Cong ty,Chuc danh,Nguoi lien he,SDT,Lien He,Email,Lien He mail,Dia chi,Luong,Ngay dang,Han tuyen,Check gui,Last Subject,Last Body HTML,Trang thai Reply,Lan Follow-up,Ngay Follow-up gan nhat,Mailbox da dung,Category,Link FB
1,Grøndals & Co. ApS,,,,,,,"Abildvej 5G, 5700 Svendborg",,,,,,,,,,,Kho lạnh bảo quản,
2,Gormsen Gourmet ApS,,,,https://gormsengourmet.dk,,,"Stenhuggervej 12, 5230 Odense M",,,,,,,,,,,Cơ sở bọc màng và tái đóng gói,
3,"Uhrenholt A/S, Skodborg Mejeri",,,'+4564414041,https://uhrenholt.com/,,,"Teglgårdsparken 106, 5500 Middelfart, Denmark",,,,,,,,,,,Cơ sở bọc màng và tái đóng gói,
4,COOL & GREEN,,,,https://coolandgreen.dk,,,"Rønnevej 28, 5580 Nørre Aaby, Denmark",,,,,,,,,,,Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
5,ROYAL GREENLAND SEAFOOD A/S,,,'+4599262916,http://www.royalgreenland.com/,info@royalgreenland.com,,"Aasivinngivit B-714, Frederikshåb, Greenland",,,,,,,,,,,Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
6,LL COLD ApS,,,,,,,"Visherredsvej 2, 6330 Padborg",,,,,,,,,,,Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Trung tâm điều phối / xuất hàng; Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến,
7,Sydhavnens Frysehus,,,,https://www.sydhavnensfrysehus.dk,mail@sydhavnens-frysehus.dk,,"Bådehavnsgade 48, 2450 København SV",,,,,,,,,,,Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
8,Nagel Danmark A/S,,,,https://www.nagel-group.com,presse@nagel-group.com,,"Nimvej 1, 7120 Vejle, Denmark",,,,,,,,,,,Kho lạnh bảo quản,https://www.facebook.com/Nagel-Group-1686584368272784
9,Lineage Copenhagen,,,'+4540433976,https://www.onelineage.com/facilities/copenhagen,pr@onelineage.com,,"Kanalholmen 25, 2650 Hvidovre, Denmark",,,,,,,,,,,Tàu lạnh (tàu chở hàng bảo quản lạnh),https://www.facebook.com/lineagelogistics
10,Constellation Cold Logistics Denmark A/S,,,'+4598521800,https://www.constellationcold.com,scs@constellationcold.com,,"Industrivej 2, 6330 Padborg",,,,,,,,,,,Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt),
11,Constellation Cold Logistics Denmark A/S - Padborg Nord,,,'+4598521800,https://www.constellationcold.com,padborg@constellationcold.com,,"Transitvej 8, 6330 Padborg",,,,,,,,,,,Kho lạnh bảo quản,
12,AABENRAA FRYSEHUS A/S,,,'+4574621881,http://www.aabenraafrysehus.dk/,info@aabenraafrysehus.dk,,"Øster Madevej 5, 6200 Aabenraa, Denmark",,,,,,,,,,,Kho lạnh bảo quản,
