stt,name,business_id,website,email,phone,address,postal_code,city,cities_all,province,keywords_found,offices_count,tol_code,tol_name,line_of_business,company_form,turnover_k_eur,employees,operating_profit_k_eur,facebook_url,linkedin_url,finder_url,tag_doanh_nghiep_maps,dia_chi_maps,nguon_enrich
1,Henkilöstövuokraus JK Oy,3220977-3,https://www.henkilostovuokrausjk.fi,vuokrausjk@gmail.com,045 354 9722,Kaarnatie 18,88900,KUHMO,KUHMO,Kainuun maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,782,,-37,https://www.facebook.com/HenkilostovuokrausJK,,https://www.finder.fi/yritys/3606272,,,
2,Bondata Lapland Oy,2923926-9,https://henkilostopalvelut.bondata.fi/henkilostovuokraus/rovaniemi,lappi@bondata.fi,040 656 2993,Kansankatu 9,96100,ROVANIEMI,ROVANIEMI; TORNIO,Lapin maakunta,Henkilöstövuokraus; Rekrytointi,4,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,7630,163,23,https://www.facebook.com/GoOnRovaniemi/,https://fi.linkedin.com/company/bondata-henkilostopalvelut,https://www.finder.fi/yritys/3234323,,,
3,Envirec Finland Oy,0915678-1,https://www.envirecfinland.fi,envirec@live.fi,050 313 0669,Monnankatu 8 C 2,26660,RAUMA,RAUMA,Satakunnan maakunta,Henkilöstövuokraus,1,81210,Kiinteistöjen siivous,Henkilöstövuokraus,Osakeyhtiö,1548,,-15,,,https://www.finder.fi/yritys/831764,,,
4,Rentcon Oy,0953663-7,https://www.rentcon.fi,rentcon@rentcon.fi,010 326 1420,Kutojantie 11,02630,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,478,10,46,http://facebook.com/duuniin/,https://www.linkedin.com/company/rentcon-oy/,https://www.finder.fi/yritys/322218,,,
5,Staffmax Oy,2934861-7,https://staffmax.fi,info@staffmax.fi,044 243 2587,Maakuntakatu 29-31 B,96200,ROVANIEMI,ROVANIEMI; OULU; HELSINKI; TAMPERE,Lapin maakunta,Henkilöstövuokraus; Rekrytointi,8,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,7216,151,-179,,,https://www.finder.fi/yritys/3242021,,,
6,Suomen Vuokramestarit Oy,2135039-2,https://www.svm.fi,info@svm.fi,010 320 5285,Ollilantie 4,90440,KEMPELE,KEMPELE; HELSINKI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus; Rekrytointi,4,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,9108,168,432,https://www.facebook.com/125450654172498,https://fi.linkedin.com/company/suomen-vuokramestarit-oy,https://www.finder.fi/yritys/1596199,,,
7,All In One Hr Oy,2583232-1,https://www.tauruspalvelut.fi,dmitri@tauruspalvelut.fi,040 041 9655,Kivipyykintie 7 A 4-5,00710,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1538,8,-483,http://facebook.com/TaurusPalvelut/,,https://www.finder.fi/yritys/2848251,,,
8,Tocca HR Lappi Oy,3360233-1,https://tocca.fi,pyry.pistokoski@tocca.fi,040 031 3908,Rovakatu 13,96100,ROVANIEMI,ROVANIEMI,Uudenmaan maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,2136,29,93,https://www.facebook.com/toccagroup,,https://www.finder.fi/yritys/4002576,,,
9,Tocca HR Uusimaa Oy,3360232-3,https://tocca.fi,office@tocca.fi,040 649 4234,Televisiokatu 4,00240,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,5418,83,140,https://www.facebook.com/toccagroup/,,https://www.finder.fi/yritys/4002575,,,
10,Tähtihoiva Oy,3096425-7,https://www.tahtihoiva.fi,tahtihoiva@tahtihoiva.fi,040 557 5206,Juurttintie 4,14200,TURENKI,TURENKI,Kanta-Hämeen maakunta,Henkilöstövuokraus; Rekrytointi,2,86990,Muualla luokittelematon muu terveyspalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,739,44,-51,,,https://www.finder.fi/yritys/3338272,,,
