stt,name,business_id,website,email,phone,address,postal_code,city,province,keyword,tol_code,tol_name,line_of_business,company_form,turnover_k_eur,employees,operating_profit_k_eur,facebook_url,linkedin_url,finder_url
1,Henkilöstövuokraus JK Oy,3220977-3,https://www.henkilostovuokrausjk.fi,vuokrausjk@gmail.com,045 354 9722,Kaarnatie 18,88900,KUHMO,Kainuun maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,782,,-37,https://www.facebook.com/HenkilostovuokrausJK,,https://www.finder.fi/yritys/3606272
2,Bondata Lapland Oy,2923926-9,https://henkilostopalvelut.bondata.fi/henkilostovuokraus/rovaniemi,lappi@bondata.fi,040 656 2993,Kansankatu 9,96100,ROVANIEMI,Lapin maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,7630,163,23,https://www.facebook.com/GoOnRovaniemi/,https://fi.linkedin.com/company/bondata-henkilostopalvelut,https://www.finder.fi/yritys/3234323
3,Envirec Finland Oy,0915678-1,https://www.envirecfinland.fi,envirec@live.fi,050 313 0669,Monnankatu 8 C 2,26660,RAUMA,Satakunnan maakunta,Henkilöstövuokraus,81210,Kiinteistöjen siivous,Henkilöstövuokraus,Osakeyhtiö,1548,,-15,,,https://www.finder.fi/yritys/831764
4,Rentcon Oy,0953663-7,https://www.rentcon.fi,rentcon@rentcon.fi,010 326 1420,Kutojantie 11,02630,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,478,10,46,http://facebook.com/duuniin/,https://www.linkedin.com/company/rentcon-oy/,https://www.finder.fi/yritys/322218
5,Bondata Lapland Oy,2923926-9,https://henkilostopalvelut.bondata.fi/henkilostovuokraus/tornio,lappi@bondata.fi,040 656 2993,Vesaisenkatu 1,95400,TORNIO,Lapin maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7630,163,23,https://www.facebook.com/BondataLappi,https://fi.linkedin.com/company/bondata-henkilostopalvelut,https://www.finder.fi/yritys/3759699
6,Staffmax Oy,2934861-7,https://staffmax.fi,info@staffmax.fi,044 243 2587,Maakuntakatu 29-31 B,96200,ROVANIEMI,Lapin maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,7216,151,-179,,,https://www.finder.fi/yritys/3242021
7,Staffmax Oy,2934861-7,https://staffmax.fi,info@staffmax.fi,044 243 2587,Kirkkokatu 6,90100,OULU,Lapin maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7216,151,-179,,,https://www.finder.fi/yritys/4209797
8,Staffmax Oy,2934861-7,https://staffmax.fi,info@staffmax.fi,044 243 258,Runeberginkatu 5 B 5 krs.,00100,HELSINKI,Lapin maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7216,151,-179,,,https://www.finder.fi/yritys/4209798
9,Staffmax Oy,2934861-7,https://staffmax.fi,info@staffmax.fi,044 243 2587,Tammelan puistokatu 33,33500,TAMPERE,Lapin maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7216,151,-179,,,https://www.finder.fi/yritys/4209796
10,Suomen Vuokramestarit Oy,2135039-2,https://www.svm.fi,info@svm.fi,010 320 5285,Ollilantie 4,90440,KEMPELE,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,9108,168,432,https://www.facebook.com/125450654172498,https://fi.linkedin.com/company/suomen-vuokramestarit-oy,https://www.finder.fi/yritys/1596199
