stt,ten_cong_ty,ma_phe_duyet,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat_moi_nhat
1,A. MEŠKAUSKO IĮ SKERDYKLA,53-03,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,"Kauno g. 32B, Kėdainiai",Kėdainiai,LT-57244,Kaunas County,Lithuania,2022-01-07
2,A. Ramanausko individuali įmonė gyvulių skerdykla,LT 66-19 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Rabikių g., Rabikių k., Panevėžio r.",Rabikiai,LT-38301,Panevezys County,Lithuania,2025-04-24
3,A.Mišeikio įmonė,32-03,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Smiltinė 20, Akmenės sen., Akmenės r. sav., Šiaulių apskr.",Smiltinė,LT-85365,Siauliai County,Lithuania,2021-03-15
4,"AB ""Išlaužo žuvis""",LT-69-01 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Šaltupio g. 31, Šaltupis, Prienų r.",Šaltupis,LT-59302,Kaunas County,Lithuania,2021-03-17
5,"AB ""Limarko Laivininkystės Kompanija"" Transportinis Refrižeratorius ""CASSIOPEA""",LT 21-16 EB,1,FFP (Fishery products - EU),RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-03-16
6,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""AURIGA""",LT21-34EB,1,FFP (Fishery products - EU),RV - Reefer Vessel,"Naujoji Uosto g. 8,LT-92125 Klaipėda,  Lietuva",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-05-21
7,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""CAPELLA""",LT 21-19 EB,1,FFP (Fishery products - EU),RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-03-16
8,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""LIBRA""",LT 21-13 EB,1,FFP (Fishery products - EU),RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-03-16
9,"AB ""Rokiškio sūris""",39-106 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,"Geležinkelio g. 24,  Pilviškių k., Pilviškių sen., Vilkaviškio r. sav.",Pilviškiai,LT-70482,Marijampole County,Lithuania,2021-03-12
10,AB KELMĖS PIENINĖ,77 - 07P; r LT ŽT 287590,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Gaurės g. 23, Tauragė",Tauragė,LT-72340,Taurage County,Lithuania,2025-02-20
