stt,ten_cong_ty,trang_thai_khop,ten_chinh_thuc_rekvizitai,ma_so_doanh_nghiep,ma_so_thue_vat,so_dien_thoai,email,website,nguoi_dai_dien,chuc_vu,so_nhan_vien,dia_chi_dang_ky,thanh_pho_dang_ky,ma_buu_chinh_dang_ky,nganh_nghe_dang_ky,rekvizitai_url,ma_phe_duyet_traces,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi_traces,thanh_pho_traces,vung_tinh_traces,quoc_gia,tag_doanh_nghiep_maps,facebook_url,dia_chi_maps,nguon_enrich
1,A. MEŠKAUSKO IĮ SKERDYKLA,NO_MATCH,,,,,,,,,,,,,,,53-03,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,"Kauno g. 32B, Kėdainiai",Kėdainiai,Kaunas County,Lithuania,,,,None
2,A. Ramanausko individuali įmonė gyvulių skerdykla,NO_MATCH,,,,,,,,,,,,,,,LT 66-19 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Rabikių g., Rabikių k., Panevėžio r.",Rabikiai,Panevezys County,Lithuania,,,,None
3,A.Mišeikio įmonė,MATCH,A. Mišeikio įmonė,153004744,LT530047415,+370 686 98344,,,Audrius Mišeikis,,4,"Smiltinės g. 20-1, Smiltinės k., Akmenės r.",Akmenės r.,LT-85365,"Maisto produktai; Gamyba; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/a_miseikio_imone/,32-03,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Smiltinė 20, Akmenės sen., Akmenės r. sav., Šiaulių apskr.",Smiltinė,Siauliai County,Lithuania,,,,None
4,"AB ""Išlaužo žuvis""",MATCH,"Išlaužo žuvis, AB",170694265,LT706942610,+370 37 746615,info@islauzozuvis.lt; kokybe@islauzozuvis.lt; buhalterija@islauzozuvis.lt; vadyba@islauzozuvis.lt; ingridasalcute@gmail.com,https://www.islauzozuvis.lt,Darius Svirskis,direktorius,53,"Išlaužas, Prienų r.",Prienų r.,LT-59303,"Žuvininkystė, žuvies produktai",https://rekvizitai.vz.lt/imone/islauzo_zuvis/,LT-69-01 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Šaltupio g. 31, Šaltupis, Prienų r.",Šaltupis,Kaunas County,Lithuania,Žuvies parduotuvė,https://www.facebook.com/islauzozuvis,"Dainavos g. 2A, Išlaužas, 59301 Prienų r. sav., Lietuva","GoogleMaps, Website"
5,"AB ""Limarko Laivininkystės Kompanija"" Transportinis Refrižeratorius ""CASSIOPEA""",NO_MATCH,,,,,,,,,,,,,,,LT 21-16 EB,1,FFP (Fishery products - EU),RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,Klaipeda County,Lithuania,,,,None
6,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""AURIGA""",NO_MATCH,,,,,,,,,,,,,,,LT21-34EB,1,FFP (Fishery products - EU),RV - Reefer Vessel,"Naujoji Uosto g. 8,LT-92125 Klaipėda,  Lietuva",Klaipėda,Klaipeda County,Lithuania,,,,
7,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""CAPELLA""",NO_MATCH,,,,,,,,,,,,,,,LT 21-19 EB,1,FFP (Fishery products - EU),RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,Klaipeda County,Lithuania,,,,
8,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""LIBRA""",NO_MATCH,,,,,,,,,,,,,,,LT 21-13 EB,1,FFP (Fishery products - EU),RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,Klaipeda County,Lithuania,,,,
9,"AB ""Rokiškio sūris""",MATCH,"Rokiškio sūris, AB",173057512,LT730575113,+370 458 55200,,http://www.rokiskio.com,Dalius Trumpa,CEO,666,"Pramonės g. 3, LT-42150 Rokiškis",Rokiškis,LT-42150,"Maisto produktai; Gamyba; Pienas, pieno produktai",https://rekvizitai.vz.lt/imone/rokiskio_suris/,39-106 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,"Geležinkelio g. 24,  Pilviškių k., Pilviškių sen., Vilkaviškio r. sav.",Pilviškiai,Marijampole County,Lithuania,,,,
10,AB KELMĖS PIENINĖ,MATCH,"Kelmės pieninė, AB",162403450,LT624034515,+370 446 72693,,https://vilvigroup.lt/,Arvydas Zaranka,direktorius,18,"Gaurės g. 23, LT-72340 Tauragė",Tauragė,LT-72340,"Pienas, pieno produktai; Eksportas; Gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/kelmes_pienine/,77 - 07P; r LT ŽT 287590,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Gaurės g. 23, Tauragė",Tauragė,Taurage County,Lithuania,,,,
