stt,ten_cong_ty,ma_phe_duyet,ma_nganh,ten_nganh,hoat_dong,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat,ghi_chu,traces_url
1,"AB ""Rokiškio sūris""",39-106 P,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",CC - Collection Centre,"Geležinkelio g. 24,  Pilviškių k., Pilviškių sen., Vilkaviškio r. sav.",Pilviškiai,LT-70482,Marijampole County,Lithuania,2021-03-12,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
2,AB KELMĖS PIENINĖ,77 - 07P,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,"Gaurės g. 23, Tauragė",Tauragė,LT-72340,Taurage County,Lithuania,2023-01-19,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
3,AB KLAIPĖDOS PIENAS,LT 21-01 P EB,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,Šilutės pl. 33,Klaipėda,LT-91107,Klaipeda County,Lithuania,2021-03-12,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
4,AB Kelmės pieninė,r LT ŽT 287590,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,"Gaurės g. 23, Tauragė, Tauragės miesto sen., Tauragės r. sav.",Tauragė,LT-72341,Taurage County,Lithuania,2025-02-20,"{'translation': 'Bovinae', 'code': 'B'}",https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
5,AB MODEST,LT 77-01 PEB,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,"TAURAGĖ, GAURĖS G.23",Tauragė,LT-72340,Taurage County,Lithuania,2026-06-21,"{'translation': 'Bovinae', 'code': 'B'}",https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
6,AB MODEST,77-01 P,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,"Tauragės apskr., Tauragės r. sav., Tauragės miesto sen., Tauragė, Gaurės g. 23",Tauragė,LT-72185,Taurage County,Lithuania,2021-03-17,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
7,AB Modest,77-01P,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,Gaurės g. 23,Tauragė,LT-72221,Taurage County,Lithuania,2021-12-16,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
8,AB Pieno Žvaigždės Fil. Mažeikių Pieninė,61-01P,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,"Skuodo g. 4, Mažeikiai, Mažeikių r. sav.",Mažeikiai,LT-89100,Telsiai County,Lithuania,2021-03-08,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
9,AB Pieno žvaigždės filialas Kauno pienas,19-01 P,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,Taikos pr. 90,Kaunas,LT-51181,Kaunas County,Lithuania,2021-03-15,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
10,AB Pieno žvaigždės filialas Panevėžio pienas,LT 27-01P EB,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,Tinklų g. 9,Panevežys,35115,Panevezys County,Lithuania,2021-03-04,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
11,AB Pieno žvaigždės filialas Pasvalio sūrinė,LT67-01P EB,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,Mūšos g. 14,Pasvalys,LT-39104,Panevezys County,Lithuania,2021-03-15,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
12,AB Rokiškio sūris,LT73-01P,MMP,"Raw milk, dairy products, colostrum and colostrum-based products",PP - Processing Plant,Pramones g. 3,Rokiškis,LT-42150,Panevezys County,Lithuania,2021-03-04,,https://webgate.ec.europa.eu/tracesnt/directory/listing/establishment/publication/index#!/view/LT/RAW_MILK_EU
