Name,Website,Phone,Address,Rating,Reviews_Count,State,Location_Name,Latitude,Longitude,Search_Query,URL,Permanently_Closed,Category
JQ Construction & Maintenance-Home renovation&extension rebuild Sydney builder,https://jqcmnsw.com.au/,+61452030366,"1A Carinya St, Blacktown NSW 2148, Australia",4.9,275,NSW,Bankstown,-33.7697878,150.9023149,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/JQ+Construction+%26+Maintenance-Home+renovation%26extension+rebuild+Sydney+builder/data=!4m7!3m6!1s0x6b1299ad41cbbd67:0x57fbe1618bed2d82!8m2!3d-33.7697878!4d150.9023149!16s%2Fg%2F11h42zyxpg!19sChIJZ73LQa2ZEmsRgi3ti2Hh-1c?authuser=0&hl=en&rclk=1,No,Construction company
Kuba Contracting,https://www.kubacontracting.com.au/,+61424246448,"11 Rayner Ave, Narraweena NSW 2099, Australia",5.0,12,NSW,Bankstown,-33.7469832,151.2783162,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/Kuba+Contracting/data=!4m7!3m6!1s0xfae048c7da27fdb:0x5525750728ea8648!8m2!3d-33.7469832!4d151.2783162!16s%2Fg%2F11xkhswxy4!19sChIJ23-ifYwErg8RSIbqKAd1JVU?authuser=0&hl=en&rclk=1,No,Demolition contractor
Menai Civil Contractors,,,"46 Lancaster St, Ingleburn NSW 2565, Australia",5.0,1,NSW,Bankstown,-33.9970496,150.8584144,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/Menai+Civil+Contractors/data=!4m7!3m6!1s0x6b12ec82498c0001:0x8ff79b2e38bac6c0!8m2!3d-33.9970496!4d150.8584144!16s%2Fg%2F11rylmwpmg!19sChIJAQCMSYLsEmsRwMa6OC6b948?authuser=0&hl=en&rclk=1,No,Contractor
Seadar Contractors,http://www.seadar.com.au/contact/,+61295705614,"1-5 Commercial Rd, Kingsgrove NSW 2208, Australia",5.0,3,NSW,Bankstown,-33.9402725,151.1004093,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/Seadar+Contractors/data=!4m7!3m6!1s0x6b12ba2970e55555:0x766fe0abd56f36f7!8m2!3d-33.9402725!4d151.1004093!16s%2Fg%2F11fn1wtltj!19sChIJVVXlcCm6EmsR9zZv1avgb3Y?authuser=0&hl=en&rclk=1,No,Construction company
H. E. Contractors PTY LTD,http://www.hecontractors.com.au/,+61297499722,"3/26 James St, Lidcombe NSW 2141, Australia",5.0,,NSW,Bankstown,-33.867574,151.046012,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/H.+E.+Contractors+PTY+LTD/data=!4m7!3m6!1s0x6b12bca07210458b:0x30da015fd88fef81!8m2!3d-33.867574!4d151.046012!16s%2Fg%2F1tkp53yq!19sChIJi0UQcqC8EmsRge-P2F8B2jA?authuser=0&hl=en&rclk=1,No,Contractor
CMS Contracting & Plant Hire,http://www.cmscontracting.com.au/,+61296471929,"10-12 Churchill St, Silverwater NSW 2128, Australia",5.0,19,NSW,Bankstown,-33.8381473,151.0442568,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/CMS+Contracting+%26+Plant+Hire/data=!4m7!3m6!1s0x6b12a3579fc40187:0x7a62e8a0e94e69a9!8m2!3d-33.8381473!4d151.0442568!16s%2Fg%2F1vvyy6zw!19sChIJhwHEn1ejEmsRqWlO6aDoYno?authuser=0&hl=en&rclk=1,No,Excavating contractor
Pure Contracting,http://purecontracting.com.au/,+61280162400,"4/31-33 Nyrang St, Lidcombe NSW 2141, Australia",,,NSW,Bankstown,-33.8487591,151.0470244,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/Pure+Contracting/data=!4m7!3m6!1s0x6b12bcaaa7164709:0xb100f9c581acdc95!8m2!3d-33.8487591!4d151.0470244!16s%2Fg%2F11dynntj_b!19sChIJCUcWp6q8EmsRldysgcX5ALE?authuser=0&hl=en&rclk=1,No,Construction company
Site Demolition,https://sitedemolition.com.au/?utm_source=google&utm_medium=GBP+organic&utm_campaign=google_my_business,+61296331747,"2/82 Charles St, Putney NSW 2112, Australia",4.8,162,NSW,Bankstown,-33.8231927,151.1090208,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/Site+Demolition/data=!4m7!3m6!1s0x6b12a2e9d8b49d8b:0xc8edc27aa42c2cc8!8m2!3d-33.8231927!4d151.1090208!16s%2Fg%2F11b5zy_6n0!19sChIJi5202OmiEmsRyCwspHrC7cg?authuser=0&hl=en&rclk=1,No,Demolition contractor
External Building Contractors,,+61412061918,"Unit 22/370 Kingsway, Caringbah NSW 2229, Australia",3.0,12,NSW,Bankstown,-34.0408213,151.1206886,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/External+Building+Contractors/data=!4m7!3m6!1s0x6b12c7e333aed2cf:0x44d4932e631a8e99!8m2!3d-34.0408213!4d151.1206886!16s%2Fg%2F11h604lprt!19sChIJz9KuM-PHEmsRmY4aYy6T1EQ?authuser=0&hl=en&rclk=1,No,Siding contractor
CPB Contractors,https://www.cpbcon.com.au/en,+61286686000,"2&4/177 Pacific Hwy, North Sydney NSW 2060, Australia",2.3,,NSW,Bankstown,-33.8370988,151.2061686,"Contractor in Bankstown, Australia",https://www.google.com/maps/place/CPB+Contractors/data=!4m7!3m6!1s0x2cc0910bd91e0ce3:0xee363047109986d7!8m2!3d-33.8370988!4d151.2061686!16s%2Fg%2F1hc7_y78y!19sChIJ4wwe2QuRwCwR14aZEEcwNu4?authuser=0&hl=en&rclk=1,No,Construction company
