Name,Website,Phone,Address,Rating,Reviews_Count,State,Location_Name,Latitude,Longitude,Search_Query,URL,Permanently_Closed,Category
"Queen Harbour, Sia Royal Nordic",https://www.queenharbour.com/,+37127774482,"Bukaišu iela 2, Zemgales priekšpilsēta, Rīga, LV-1004, Latvija","5,0",,LV,Rīga,56.9152204,24.1443848,"Zivju apstrādes uzņēmums in Riga, Latvia","https://www.google.com/maps/place/Queen+Harbour,+Sia+Royal+Nordic/data=!4m7!3m6!1s0x46eed1803f7be08f:0x201f22b9473be566!8m2!3d56.9152204!4d24.1443848!16s%2Fg%2F11frzq9yqq!19sChIJj-B7P4DR7kYRZuU7R7kiHyA?authuser=0&hl=lv&rclk=1",No,Zivju apstrādes uzņēmums
"Mauriņi - S, SIA, Karsti un auksti kūpinātas zivis no Ragaciema",https://www.kupinatas-zivis.lv/,+37129374291,"Laivu iela 24, Ragaciems, Lapmežciema pagasts, Tukuma novads, LV-3118, Latvija","4,8",,LV,Tukuma novads,57.0268812,23.490322,"Zivju apstrādes uzņēmums in Riga, Latvia","https://www.google.com/maps/place/Mauri%C5%86i+-+S,+SIA,+Karsti+un+auksti+k%C5%ABpin%C4%81tas+zivis+no+Ragaciema/data=!4m7!3m6!1s0x46eee578c259119d:0x5f87b969b9779e4a!8m2!3d57.0268812!4d23.490322!16s%2Fg%2F11fncvb7rd!19sChIJnRFZwnjl7kYRSp53uWm5h18?authuser=0&hl=lv&rclk=1",No,Zivju apstrādes uzņēmums
"Gundegas IP, IU",,+37129413089,"Vecgaujas iela 20, Vecgaujas 20, Carnikavas pagasts, Ādažu novads, LV-2163, Latvija","4,6",,LV,Ādažu novads,57.1262875,24.2651554,"Zivju apstrādes uzņēmums in Riga, Latvia","https://www.google.com/maps/place/Gundegas+IP,+IU/data=!4m7!3m6!1s0x46eeb7c0b0f01751:0xaf85f6733689339b!8m2!3d57.1262875!4d24.2651554!16s%2Fg%2F11b6ll7827!19sChIJURfwsMC37kYRmzOJNnP2ha8?authuser=0&hl=lv&rclk=1",No,Zivju apstrādes uzņēmums
DTRIM Grupp LV,,+37120039259,"Traleru iela 32, Ziemeļu rajons, Rīga, LV-1030, Latvija","3,8",,LV,Rīga,57.0525325,24.0628974,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/DTRIM+Grupp+LV/data=!4m7!3m6!1s0x46eec72107d05fef:0xf0c320c65152e0f!8m2!3d57.0525325!4d24.0628974!16s%2Fg%2F11p0z9jzl_!19sChIJ71_QByHH7kYRDy4VZQwyDA8?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
"KH Select , SIA",https://www.khselect.lv/lv/kontakti,+37167996692,"Muižas iela 18, Ādaži, Ādaži pilsēta, Ādažu novads, LV-2164, Latvija","4,1",,LV,Ādažu novads,57.0972439,24.3201893,"Zivju apstrādes uzņēmums in Riga, Latvia","https://www.google.com/maps/place/KH+Select+,+SIA/data=!4m7!3m6!1s0x46eeca04832102b7:0xbb9a26a9f4255f9e!8m2!3d57.0972439!4d24.3201893!16s%2Fg%2F11b6lkxbkh!19sChIJtwIhgwTK7kYRnl8l9Kkmmrs?authuser=0&hl=lv&rclk=1",No,Zivju apstrādes uzņēmums
"""Bidfood Latvia"" SIA, noliktava",http://www.bidfood.lv/,+37127679411,"Jauntrenči, Eimuri, Ādažu pagasts, LV-2164, Latvija","4,3",,LV,Ādažu pagasts,57.085617,24.2967127,"Zivju apstrādes uzņēmums in Riga, Latvia","https://www.google.com/maps/place/%22Bidfood+Latvia%22+SIA,+noliktava/data=!4m7!3m6!1s0x46eec9dd3738a847:0x13f03a3522b730b4!8m2!3d57.085617!4d24.2967127!16s%2Fg%2F11btmcbfmk!19sChIJR6g4N93J7kYRtDC3IjU68BM?authuser=0&hl=lv&rclk=1",No,Zivju apstrādes uzņēmums
"Salas zivis, SIA",https://salas-zivis.com/,+37167073611,"Lidoņu iela 6C, Kurzemes rajons, Rīga, LV-1055, Latvija","4,1",,LV,Rīga,56.972485,24.0671495,"Zivju apstrādes uzņēmums in Riga, Latvia","https://www.google.com/maps/place/Salas+zivis,+SIA/data=!4m7!3m6!1s0x46eecff5ac561987:0x3a1126333c100f40!8m2!3d56.972485!4d24.0671495!16s%2Fg%2F11c5rtmb6m!19sChIJhxlWrPXP7kYRQA8QPDMmETo?authuser=0&hl=lv&rclk=1",No,Jūras velšu vairumtirgotājs
TheFish.lv,,+37127060599,"Robežnieku iela 7, Mārupe, Mārupe pilsēta, Mārupes novads, LV-2167, Latvija","5,0",,LV,Mārupes novads,56.9106575,23.9991483,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/TheFish.lv/data=!4m7!3m6!1s0x46eedb2d247538df:0xda75015fe6e4ceed!8m2!3d56.9106575!4d23.9991483!16s%2Fg%2F11s5jywxjv!19sChIJ3zh1JC3b7kYR7c7k5l8Bddo?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
Amberfish,http://www.amberfish.lv/,+37124338803,"Sporta 2, Vidzemes priekšpilsēta, Rīga, LV-1013, Latvija","1,0",,LV,Rīga,56.9630691,24.1193786,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/Amberfish/data=!4m7!3m6!1s0x46eedaa709c116c9:0x6e8667b65f99cfdf!8m2!3d56.9630691!4d24.1193786!16s%2Fg%2F11fn6t1bkc!19sChIJyRbBCafa7kYR38-ZX7Znhm4?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
Khan Caviar,http://www.khancaviar.eu/,+37125110110,"Uriekstes iela 32, Ziemeļu rajons, Rīga, LV-1005, Latvija","2,7",,LV,Rīga,57.0054878,24.1051923,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/Khan+Caviar/data=!4m7!3m6!1s0x46eecf3b1afef68d:0x4dd699faf9f8725!8m2!3d57.0054878!4d24.1051923!16s%2Fg%2F11kx6ff9t_!19sChIJjfb-GjvP7kYRJYefr59p3QQ?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
Gamma-a,http://www.gamma-a.lv/,+37167615142,"Traleru iela 30, Ziemeļu rajons, Rīga, LV-1030, Latvija","4,8",,LV,Rīga,57.0525388,24.0629165,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/Gamma-a/data=!4m7!3m6!1s0x46eec67edcd8df49:0x59130e0041f49314!8m2!3d57.0525388!4d24.0629165!16s%2Fg%2F11gfp0cnmg!19sChIJSd_Y3H7G7kYRFJP0QQAOE1k?authuser=0&hl=lv&rclk=1,No,Konservu fabrika
"SIA ""Kaltenes zivis""",http://www.facebook.com/KaltenesZivis,+37120201250,"Elzas 1, Kaltene, Rojas pagasts, Talsu novads, LV-3264, Latvija","4,7",,LV,Talsu novads,57.4513816,22.886259,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/SIA+%22Kaltenes+zivis%22/data=!4m7!3m6!1s0x46ee6b49cda64523:0x3261e271750c93cd!8m2!3d57.4513816!4d22.886259!16s%2Fg%2F11j8w7fb46!19sChIJI0WmzUlr7kYRzZMMdXHiYTI?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
Kalnpuru Zivis,http://www.kalnpuruzivis.lv/,+37125139866,"Klusā iela 3, Ragaciems, Lapmežciema pagasts, Tukuma novads, LV-3118, Latvija","4,9",,LV,Tukuma novads,57.0254967,23.4879139,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/Kalnpuru+Zivis/data=!4m7!3m6!1s0x46eee51f3ca06dd9:0xa0cf875027cd4d35!8m2!3d57.0254967!4d23.4879139!16s%2Fg%2F11c88fplfm!19sChIJ2W2gPB_l7kYRNU3NJ1CHz6A?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
I/K Reinis B kūpinātas zivis,http://www.reinazivis.lv/,,"Gatera iela 6, Lapmežciems, Lapmežciema pagasts, Tukuma novads, LV-3118, Latvija","4,8",,LV,Tukuma novads,57.0000749,23.507777,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/I%2FK+Reinis+B+k%C5%ABpin%C4%81tas+zivis/data=!4m7!3m6!1s0x46eee54052e09171:0x50c26f8f386b85dc!8m2!3d57.0000749!4d23.507777!16s%2Fg%2F11g1dmykht!19sChIJcZHgUkDl7kYR3IVrOI9vwlA?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
Oniors zivis,https://www.oniors.lv/,+37165440465,"Zeļinska iela 20, Daugavpils, LV-5410, Latvija","4,7",,LV,Daugavpils,55.8888715,26.5636673,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/Oniors+zivis/data=!4m7!3m6!1s0x46c2944faefc368b:0xd825ae7362608b77!8m2!3d55.8888715!4d26.5636673!16s%2Fg%2F1thw0vls!19sChIJizb8rk-UwkYRd4tgYnOuJdg?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
AK Zivs ražotne,,+37125906105,"Ceļmalas, Liepupes pagasts, Limbažu novads, LV-4023, Latvija",,,LV,Limbažu novads,57.4708089,24.4763532,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/AK+Zivs+ra%C5%BEotne/data=!4m7!3m6!1s0x46ec1d1dc966f3eb:0x9d5f58a04ce5adfb!8m2!3d57.4708089!4d24.4763532!16s%2Fg%2F11z2xr5s8h!19sChIJ6_NmyR0d7EYR-63lTKBYX50?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
Avis D,http://avis-d.lv/,+37165474352,"Kalkūnes iela 21, Daugavpils, LV-5449, Latvija","3,8",12,LV,Daugavpils,55.8410632,26.4883314,"Zivju apstrādes uzņēmums in Riga, Latvia",https://www.google.com/maps/place/Avis+D/data=!4m7!3m6!1s0x46c2be1900a60401:0xf5882f2e00418658!8m2!3d55.8410632!4d26.4883314!16s%2Fg%2F11b6lnpssn!19sChIJAQSmABm-wkYRWIZBAC4viPU?authuser=0&hl=lv&rclk=1,No,Zivju apstrādes uzņēmums
"Krupis, SIA",,+37126378048,"Zvejnieku iela 22, Carnikava, Carnikavas pagasts, Ādažu novads, LV-2163, Latvija","4,5",110,LV,Ādažu novads,57.1322161,24.2713397,"Zivju apstrādes uzņēmums in Riga, Latvia","https://www.google.com/maps/place/Krupis,+SIA/data=!4m7!3m6!1s0x46eeb7bea9b876f9:0xb799be38c9bbded!8m2!3d57.1322161!4d24.2713397!16s%2Fg%2F11b6lmwbhh!19sChIJ-Xa4qb637kYR7b2bjOObeQs?authuser=0&hl=lv&rclk=1",No,Zivju apstrādes uzņēmums
"Vilattrans , SIA",http://foodbank.lv/,+37167901108,"Silezera 17, Silakrogs, Ropažu pagasts, Ropažu novads, LV-2133, Latvija","4,2",46,LV,Ropažu novads,56.9604662,24.4281948,"Konservu fabrika in Riga, Latvia","https://www.google.com/maps/place/Vilattrans+,+SIA/data=!4m7!3m6!1s0x46e9335d1b27c4cb:0xe4e98a0a60f26885!8m2!3d56.9604662!4d24.4281948!16s%2Fg%2F11b6m0_ld3!19sChIJy8QnG10z6UYRhWjyYAqK6eQ?authuser=0&hl=lv&rclk=1",No,Konservu fabrika
"""Jūraslīcis""",,,"Bulduru prospekts 139, Jūrmala, LV-2010, Latvija",,,LV,Jūrmala,56.9937642,23.8995629,"Konservu fabrika in Riga, Latvia",https://www.google.com/maps/place/%22J%C5%ABrasl%C4%ABcis%22/data=!4m7!3m6!1s0x46eec3007cfb79c5:0x59aea59173a2cb87!8m2!3d56.9937642!4d23.8995629!16s%2Fg%2F11w8q8_9w5!19sChIJxXn7fADD7kYRh8uic5Glrlk?authuser=0&hl=lv&rclk=1,No,Konservu fabrika
"Zvejnieku kolhozs ""Uzvara"" / ""Jūraslīcis""",,,"Lašu iela 13, Jūrmala, LV-2010, Latvija",,,LV,Jūrmala,56.9974556,23.9238248,"Konservu fabrika in Riga, Latvia",https://www.google.com/maps/place/Zvejnieku+kolhozs+%22Uzvara%22+%2F+%22J%C5%ABrasl%C4%ABcis%22/data=!4m7!3m6!1s0x46eec5000a893f1d:0x2af0af6c713deb31!8m2!3d56.9974556!4d23.9238248!16s%2Fg%2F11wc0cywqm!19sChIJHT-JCgDF7kYRMes9cWyv8Co?authuser=0&hl=lv&rclk=1,No,Konservu fabrika
"Zvejnieku kolhozs ""Uzvara"" / ""Jūraslīcis""",,,"Lašu iela 18, Jūrmala, LV-2010, Latvija",,,LV,Jūrmala,56.9973221,23.9248525,"Konservu fabrika in Riga, Latvia",https://www.google.com/maps/place/Zvejnieku+kolhozs+%22Uzvara%22+%2F+%22J%C5%ABrasl%C4%ABcis%22/data=!4m7!3m6!1s0x46eec500385da943:0xa553db954b99acac!8m2!3d56.9973221!4d23.9248525!16s%2Fg%2F11wc0d57js!19sChIJQ6ldOADF7kYRrKyZS5XbU6U?authuser=0&hl=lv&rclk=1,No,Konservu fabrika
"Zvejnieku kolhozs ""Uzvara"" / ""Jūraslīcis""",,,"Lašu iela 24A, Jūrmala, LV-2010, Latvija",,,LV,Jūrmala,56.9997936,23.9265208,"Konservu fabrika in Riga, Latvia",https://www.google.com/maps/place/Zvejnieku+kolhozs+%22Uzvara%22+%2F+%22J%C5%ABrasl%C4%ABcis%22/data=!4m7!3m6!1s0x46eec5002407605b:0xd0c8955c48d3a413!8m2!3d56.9997936!4d23.9265208!16s%2Fg%2F11wc0ch1xg!19sChIJW2AHJADF7kYRE6TTSFyVyNA?authuser=0&hl=lv&rclk=1,No,Konservu fabrika
"Rēzeknes piena konservu rūpnīca , SIA",,+37129543473,"Brīvības gat. 85, Centra rajons, Rīga, LV-1001, Latvija",,,LV,Rīga,56.9604591,24.1304671,"Konservu fabrika in Riga, Latvia","https://www.google.com/maps/place/R%C4%93zeknes+piena+konservu+r%C5%ABpn%C4%ABca+,+SIA/data=!4m7!3m6!1s0x46eecfcb03d63aa9:0xedf08dee2ea3061f!8m2!3d56.9604591!4d24.1304671!16s%2Fg%2F1tdrd1ks!19sChIJqTrWA8vP7kYRHwajLu6N8O0?authuser=0&hl=lv&rclk=1",No,
"Ziemeļi, Rīgas pārdošanas un klientu apkalpošanas centrs, Baltikums",,+37167353461,"Atlantijas iela 7, Ziemeļu rajons, Rīga, LV-1015, Latvija","4,6",8,LV,Rīga,57.037342,24.086394,"Konservu fabrika in Riga, Latvia","https://www.google.com/maps/place/Zieme%C4%BCi,+R%C4%ABgas+p%C4%81rdo%C5%A1anas+un+klientu+apkalpo%C5%A1anas+centrs,+Baltikums/data=!4m7!3m6!1s0x46eec5e737bab637:0x653ff53ddb3c19e3!8m2!3d57.037342!4d24.086394!16s%2Fg%2F11b6m0_kj0!19sChIJN7a6N-fF7kYR4xk82z31P2U?authuser=0&hl=lv&rclk=1",No,
"Bauskas konservi, SIA",,+37126511343,"Selani, Uzvara, LV-3931, Latvija","4,7",3,LV,Uzvara,56.337785,24.238028,"Konservu fabrika in Riga, Latvia","https://www.google.com/maps/place/Bauskas+konservi,+SIA/data=!4m7!3m6!1s0x46e8b8a21e8f83eb:0x8ca83d3634bec622!8m2!3d56.337785!4d24.238028!16s%2Fg%2F1tjymdhs!19sChIJ64OPHqK46EYRIsa-NDY9qIw?authuser=0&hl=lv&rclk=1",No,Konservu fabrika
Dzīvas Zivis,http://akvaagro.lv/,+37128224393,"LV-2121, Augšrūķu iela 17-19, Salaspils, Salaspils pagasts, LV-2118, Latvija","4,6",27,LV,,56.8910137,24.3250226,"Zivju ferma in Riga, Latvia",https://www.google.com/maps/place/Dz%C4%ABvas+Zivis/data=!4m7!3m6!1s0x46e92d53a65e6e69:0x2759f7b980459b2c!8m2!3d56.8910137!4d24.3250226!16s%2Fg%2F11c54npmtt!19sChIJaW5eplMt6UYRLJtFgLn3WSc?authuser=0&hl=lv&rclk=1,No,Zivju ferma
"DOLE, zivju audzētava",https://www.bior.lv/,+37129468110,"Dolessala Salaspils novads Doles, sala, LV-2118, Latvija","5,0",1,LV,sala,56.8474451,24.252796,"Zivju ferma in Riga, Latvia","https://www.google.com/maps/place/DOLE,+zivju+audz%C4%93tava/data=!4m7!3m6!1s0x46eed380288f89af:0x4458ef746a9adcb2!8m2!3d56.8474451!4d24.252796!16s%2Fg%2F11vl4z61v3!19sChIJr4mPKIDT7kYRstyaanTvWEQ?authuser=0&hl=lv&rclk=1",No,Akvakultūras ferma
Akva Ferma,https://uzv.su/akvaferma/,+37126785118,"Dainas, Salaspils pag, Salaspils nov, Salaspils, LV-2121, Latvija","5,0",3,LV,Salaspils,56.8897556,24.3259861,"Zivju ferma in Riga, Latvia",https://www.google.com/maps/place/Akva+Ferma/data=!4m7!3m6!1s0x46e92d20ecefc9db:0xab44cca7728b821a!8m2!3d56.8897556!4d24.3259861!16s%2Fg%2F11fwhl4xm9!19sChIJ28nv7CAt6UYRGoKLcqfMRKs?authuser=0&hl=lv&rclk=1,No,Zivju ferma
Akva Agro,https://www.akvaagro.lv/,+37167775667,"Augšrūķu iela 17-19, Salaspils, Salaspils pagasts, Salaspils novads, LV-2121, Latvija","4,8",25,LV,Salaspils novads,56.8916377,24.3245946,"Zivju ferma in Riga, Latvia",https://www.google.com/maps/place/Akva+Agro/data=!4m7!3m6!1s0x46eed206b0617069:0xa47f4a19fa9149d3!8m2!3d56.8916377!4d24.3245946!16s%2Fg%2F1tdc3xtq!19sChIJaXBhsAbS7kYR00mR-hlKf6Q?authuser=0&hl=lv&rclk=1,No,Zivju ferma
Cavr,https://www.cavr.lv/,+37120220440,"Matrožu iela 7a, Kurzemes rajons, Rīga, LV-1048, Latvija","5,0",5,LV,Rīga,56.964884,24.0812961,"Zivju ferma in Riga, Latvia",https://www.google.com/maps/place/Cavr/data=!4m7!3m6!1s0x46eecfeef820e8f7:0xff5394c1cafd3a1f!8m2!3d56.964884!4d24.0812961!16s%2Fg%2F11hys_2f3f!19sChIJ9-gg-O7P7kYRHzr9ysGUU_8?authuser=0&hl=lv&rclk=1,No,Zivju ferma
"SIA ""MOTTRA""",https://www.mottra.lv/,+37126174575,"Laminas, Katlakalns, LV-2111, Latvija","4,6",58,LV,Katlakalns,56.884248,24.18919,"Zivju ferma in Riga, Latvia",https://www.google.com/maps/place/SIA+%22MOTTRA%22/data=!4m7!3m6!1s0x46eed24a3d00199b:0xc14d06c158f1b045!8m2!3d56.884248!4d24.18919!16s%2Fg%2F11xg83_g3!19sChIJmxkAPUrS7kYRRbDxWMEGTcE?authuser=0&hl=lv&rclk=1,No,Zivju ferma
Amfi Top Aqua Farming LTD,https://www.amfitopaqua.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4667022400769386544,+4791380556,"Lāčplēša iela 75B, Riga Riga, Vidzeme, LV-1011, Latvija",,,LV,Vidzeme,56.9499345,24.134155,"Zivju ferma in Riga, Latvia",https://www.google.com/maps/place/Amfi+Top+Aqua+Farming+LTD/data=!4m7!3m6!1s0x46eecfb3eb2ea0e7:0x54e1f64630dceb9c!8m2!3d56.9499345!4d24.134155!16s%2Fg%2F11xdv3vngg!19sChIJ56Au67PP7kYRnOvcMEb24VQ?authuser=0&hl=lv&rclk=1,No,Zivju ferma
Kaviale SIA,https://kaviale.lv/e-veikals/,+37123999793,"Kauguru iela 9, Zemgales priekšpilsēta, Rīga, LV-1046, Latvija","4,9",112,LV,Rīga,56.93559,24.0521518,"Zivju ferma in Riga, Latvia",https://www.google.com/maps/place/Kaviale+SIA/data=!4m7!3m6!1s0x46eedb22693eb763:0xa4d7b5315f1b58c6!8m2!3d56.93559!4d24.0521518!16s%2Fg%2F11nxcdrplj!19sChIJY7c-aSLb7kYRxlgbXzG116Q?authuser=0&hl=lv&rclk=1,No,Zivju ferma
