No.,Công ty,Chức danh,Người liên hệ,SĐT,Liên Hệ,Email,Liên Hệ mail,Địa chỉ,Lương,Ngày đăng,Hạn tuyển,Check gửi,Last Subject,Last Body HTML,Trạng thái Reply,Lần Follow-up,Ngày Follow-up gần nhất,Mailbox đã dùng,Category
1,Dzīvas Zivis,,,'28224393,http://akvaagro.lv/,info@khancaviar.eu,,"LV-2121, Augšrūķu iela 17-19, Salaspils, Salaspils pagasts, LV-2118, Latvija",,,,,,,,0,,,Trại cá
2,Amfi Top Aqua Farming LTD,,,'4791380556,https://www.amfitopaqua.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4667022400769386544,svein@furstenberg.no,,"Lāčplēša iela 75B, Riga Riga, Vidzeme, LV-1011, Latvija",,,,,,,,0,,,Trại cá
3,Avis D,,,'65474352,http://avis-d.lv/,avis.zivis@gmail.com,,"Kalkūnes iela 21, Daugavpils, LV-5449, Latvija",,,,,,,,0,,,Công ty chế biến cá
4,"DOLE, zivju audzētava",,,'29468110,https://www.bior.lv/,bior@bior.lv,,"Dolessala Salaspils novads Doles, sala, LV-2118, Latvija",,,,,,,,0,,,Trại nuôi trồng thủy sản
5,"""Bidfood Latvia"" SIA, noliktava",,,'27679411,http://www.bidfood.lv/,info@bidfood.lv,,"Jauntrenči, Eimuri, Ādažu pagasts, LV-2164, Latvija",,,,,,,,0,,,Công ty chế biến cá
6,Baltijas zivis - 97 SIA,,,'64065175,http://www.bz97.lv/,baltijaszivis97@apollo.lv,,"Baltijas zivis - 97, Mandegas, Skultes pagasts, LV-4025, Latvija",,,,,,,,0,,,Nhà sản xuất
7,Cavr,,,'20220440,https://www.cavr.lv/,info@cavr.lv,,"Matrožu iela 7a, Kurzemes rajons, Rīga, LV-1048, Latvija",,,,,,,,0,,,Trại cá
8,DivZiv,,,'29210662,http://www.divziv.lv/,zigis@gammar.lv,,"Elza, Kaltene, Rojas pagasts, LV-3200, Latvija",,,,,,,,0,,,Trại cá
9,"SIA ""Kaltenes zivis""",,,'20201250,http://www.facebook.com/KaltenesZivis,kaltenes.zivis@inbox.lv,,"Elzas 1, Kaltene, Rojas pagasts, Talsu novads, LV-3264, Latvija",,,,,,,,0,,,Công ty chế biến cá
10,Ērika Rāvas zemnieku saimniecība,,,'29249390,https://www.facebook.com/ZivisnoErikaRavaszs,stagari1@inbox.lv,,"Stagari, Durbes pagasts, Dienvidkurzemes novads, LV-3445, Latvija",,,,,,,,0,,,Trại nuôi trồng thủy sản
11,FISH OK LTD,,,'26338050,http://www.fishok.lv/,info@fishok.lv,,"Zivju fabrika, Rude, Talsi province, Talsu novads, LV-3264, Latvija",,,,,,,,0,,,Nhà sản xuất
12,"Vilattrans , SIA",,,'67901108,http://foodbank.lv/,info@mdm.lv,,"Silezera 17, Silakrogs, Ropažu pagasts, Ropažu novads, LV-2133, Latvija",,,,,,,,0,,,Nhà máy đồ hộp
13,Gamma-a,,,'67615142,http://www.gamma-a.lv/,info@gamma-a.lv,,"Traleru iela 30, Ziemeļu rajons, Rīga, LV-1030, Latvija",,,,,,,,0,,,Nhà máy đồ hộp
14,"SIA ""Silverfish""",,,'29576262,http://www.hanters.eu/,info@hanters.eu,,"Vānes iela, Liepāja, LV-3405, Latvija",,,,,,,,0,,,Công ty chế biến cá
15,"Skrunda, SIA",,,'29991848,https://infolapa.zl.lv/skrunda-sia,zivsaimnieciba@apollo.lv,,"Zivsaimniecība, Rūnaiši, Skrundas pagasts, Kuldīgas novads, LV-3326, Latvija",,,,,,,,0,,,Trại cá
16,Kaigo,,,'25408555,http://www.kaigo.lv/contact-us/,kaigo@kaigo.lv,,"Braslas iela 22D, Vidzemes priekšpilsēta, Rīga, LV-1084, Latvija",,,,,,,,0,,,Nhà bán buôn hải sản
17,Kalnpuru Zivis,,,'25139866,http://www.kalnpuruzivis.lv/,unakalnpure@gmail.com,,"Klusā iela 3, Ragaciems, Lapmežciema pagasts, Tukuma novads, LV-3118, Latvija",,,,,,,,0,,,Công ty chế biến cá
18,"KARAVELA, SIA",,,'67496400,http://karavela.lv/,kaija@kaija.lv,,"Atlantijas iela 15, Ziemeļu rajons, Rīga, LV-1015, Latvija",,,,,,,,0,,,Công ty chế biến cá
19,Kaviale SIA,,,'23999793,https://kaviale.lv/e-veikals/,veikals@kaviale.lv,,"Kauguru iela 9, Zemgales priekšpilsēta, Rīga, LV-1046, Latvija",,,,,,,,0,,,Trại cá
20,"KH Select , SIA",,,'67996692,https://www.khselect.lv/lv/kontakti,info@khselect.lv,,"Muižas iela 18, Ādaži, Ādaži pilsēta, Ādažu novads, LV-2164, Latvija",,,,,,,,0,,,Công ty chế biến cá
21,"Mauriņi - S, SIA, Karsti un auksti kūpinātas zivis no Ragaciema",,,'29374291,https://www.kupinatas-zivis.lv/,info@kupinatas-zivis.lv,,"Laivu iela 24, Ragaciems, Lapmežciema pagasts, Tukuma novads, LV-3118, Latvija",,,,,,,,0,,,Công ty chế biến cá
22,Kurzemes zivis,,,'29263607,http://kurzemeszivis.lv/,zivis@anzage.lv,,"Vēži, Pelču pagasts, LV-3322, Latvija",,,,,,,,0,,,Trại cá
23,"""Lotana"", SIA",,,'28444805,http://lotana.lv/,info@lotanalv.lv,,"Viskaļu iela 3, Vidzemes priekšpilsēta, Rīga, LV-1026, Latvija",,,,,,,,0,,,Nhà bán buôn hải sản
24,"SIA ""MOTTRA""",,,'26174575,https://www.mottra.lv/,info@mottra.lv,,"Laminas, Katlakalns, LV-2111, Latvija",,,,,,,,0,,,Trại cá
25,SIA Zibs,,,'29654756,http://www.negi.lv/,info@negi.lv,,"Šosejas iela 15, Carnikava, Carnikavas pagasts, Ādažu novads, LV-2163, Latvija",,,,,,,,0,,,Công ty chế biến cá
26,Oniors zivis,,,'65440465,https://www.oniors.lv/,oniors_zivis@inbox.lv,,"Zeļinska iela 20, Daugavpils, LV-5410, Latvija",,,,,,,,0,,,Công ty chế biến cá
27,OSTBALTFISH Ltd,,,'63426054,http://www.ostbaltfish.lv/contacts.php?lang=lv,info@ostbaltfish.lv,,"Friča Brīvzemnieka iela, Liepāja, LV-3401, Latvija",,,,,,,,0,,,Công ty chế biến cá
28,SIA “Poriņu Dārzniecība”,,,'29343504,http://www.porinudarznieciba.lv/,porinu.darznieciba@gmail.com,,"Darzniecība, Saraiķi, Vērgales pagasts, LV-3462, Latvija",,,,,,,,0,,,Trại nuôi trồng thủy sản
29,"Queen Harbour, Sia Royal Nordic",,,'27774482,https://www.queenharbour.com/,info@qharbour.com,,"Bukaišu iela 2, Zemgales priekšpilsēta, Rīga, LV-1004, Latvija",,,,,,,,0,,,Công ty chế biến cá
30,I/K Reinis B kūpinātas zivis,,,,http://www.reinazivis.lv/,reinazivis@inbox.lv,,"Gatera iela 6, Lapmežciems, Lapmežciema pagasts, Tukuma novads, LV-3118, Latvija",,,,,,,,0,,,Công ty chế biến cá
31,"Roja F.C.T. , SIA",,,'63291160,http://www.rojafct.lv/,andisfct@gmail.com,,"Raiņa iela 10, Valdemārpils, Valdemārpils pilsēta, Talsu novads, LV-3260, Latvija",,,,,,,,0,,,Nhà máy đồ hộp
32,"Sātiņi-S, zivju audzētava",,,'29415287,https://satinuzivis.mozello.lv/,satini.zivis@gmail.com,,"Sātiņu kantora māja, Saldus, Novadnieku pagasts, Saldus novads, LV-3880, Latvija",,,,,,,,0,,,Trại cá
