Name,Website,Phone,Address,Rating,Reviews_Count,State,Location_Name,Latitude,Longitude,Search_Query,URL,Permanently_Closed,Category
Step by Step Atlantic - Guesthouse & Surf School,https://step-by-step-atlantic.com/,+351961526113,"R. N 47 nr36, 4480-087 Azurara, Portugal","5,0",,PT,R. N 47 nr36,41.334906,-8.737465,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Step+by+Step+Atlantic+-+Guesthouse+%26+Surf+School/data=!4m10!3m9!1s0xd2443e5f12c1385:0x5b5d047d2d0765d!5m2!4m1!1i2!8m2!3d41.334906!4d-8.737465!16s%2Fg%2F11njc2y9xx!19sChIJhRMs8eVDJA0RXXbQ0kfQtQU?authuser=0&hl=pt-BR&rclk=1,No,Albergue
Hospedaria Bela Vista,,+351933546631,"4050-350 Porto, Portugal","4,6",,PT,,41.1600657,-8.6237067,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Hospedaria+Bela+Vista/data=!4m10!3m9!1s0xd2465a788774831:0xf680a129514e5c1c!5m2!4m1!1i2!8m2!3d41.1600657!4d-8.6237067!16s%2Fg%2F1tw_pjn7!19sChIJMUh3iKdlJA0RHFxOUSmhgPY?authuser=0&hl=pt-BR&rclk=1,No,Hospedaria
Hospedaria Londres,https://www.hospedarialondres.com/,+351221132035,"Rua da Estação n° 106, 4300-171 Porto, Portugal","4,6",,PT,Rua da Estação n° 106,41.1478743,-8.5864209,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Hospedaria+Londres/data=!4m10!3m9!1s0xd2464911ac6649b:0xc1a6b75cb907e58c!5m2!4m1!1i2!8m2!3d41.1478743!4d-8.5864209!16s%2Fg%2F11gfzjsff4!19sChIJm2TGGpFkJA0RjOUHuVy3psE?authuser=0&hl=pt-BR&rclk=1,No,Hotel 3 estrelas
Hospedaria Porto,https://www.booking.com/hotel/pt/hospedaria-porto.pt-pt.html?aid=376389&label=Hoteis-VaWhhRI65DQcJEli4izUSgS267724756065%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-300583308179%3Alp20876%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfNeh-lbHkPZfvshG1kRNbU&sid=3e4e257fca027031eecc96e00cbff38c&dest_id=7092158;dest_type=hotel;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1673176825;srpvid=15bb4fbc6b9b03c4;type=total;ucfs=1&#hotelTmpl,+351966207903,"R. de Justino Teixeira 47, 4300-279 Porto, Portugal","2,9",,PT,R. de Justino Teixeira 47,41.1494817,-8.5864292,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Hospedaria+Porto/data=!4m10!3m9!1s0xd246491b0b6248b:0x2c4f86e402cba9a3!5m2!4m1!1i2!8m2!3d41.1494817!4d-8.5864292!16s%2Fg%2F1thmgnwk!19sChIJiyS2sJFkJA0Ro6nLAuSGTyw?authuser=0&hl=pt-BR&rclk=1,No,Hotel 2 estrelas
Hospedaria do seixo,,+351229515504,"R. Nova do Seixo 313, 4460-383 Porto, Portugal","3,1",,PT,R. Nova do Seixo 313,41.1822691,-8.6311072,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Hospedaria+do+seixo/data=!4m10!3m9!1s0xd2465c6991f0cdf:0x880b62047ba6d527!5m2!4m1!1i2!8m2!3d41.1822691!4d-8.6311072!16s%2Fg%2F11dfgqc80s!19sChIJ3wwfmcZlJA0RJ9WmewRiC4g?authuser=0&hl=pt-BR&rclk=1,No,Hotel
The House of Sandeman - Hostel & Suites,http://thehouseofsandeman.pt/,+351221127221,"Largo Miguel Bombarda 67, 4430-175 Vila Nova de Gaia, Portugal","4,8",,PT,Largo Miguel Bombarda 67,41.1376586,-8.6122812,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/The+House+of+Sandeman+-+Hostel+%26+Suites/data=!4m10!3m9!1s0xd2464de47492a23:0xaa18c0b50a917980!5m2!4m1!1i2!8m2!3d41.1376586!4d-8.6122812!16s%2Fg%2F11ggb817cq!19sChIJIypJR95kJA0RgHmRCrXAGKo?authuser=0&hl=pt-BR&rclk=1,No,Hotel 3 estrelas
Hospedaria do Bonfim,,,"R. do Bonfim 316, 4300-096 Porto, Portugal","4,3",,PT,R. do Bonfim 316,41.1500215,-8.5953744,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Hospedaria+do+Bonfim/data=!4m10!3m9!1s0xd2465007dfbce0d:0x729ce1b8e3e85704!5m2!4m1!1i2!8m2!3d41.1500215!4d-8.5953744!16s%2Fg%2F11ymfcm6sm!19sChIJDc77fQBlJA0RBFfo47jhnHI?authuser=0&hl=pt-BR&rclk=1,No,Hotel 2 estrelas
Stadium Porto Hostel,https://stadiumportohostel.pt/,+351929009060,"R. de Contumil 372, 4350-130 Porto, Portugal","4,2",,PT,R. de Contumil 372,41.1668174,-8.5822007,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Stadium+Porto+Hostel/data=!4m10!3m9!1s0xd2465c66b1cc203:0xd3bf8d567a6e7a84!5m2!4m1!1i2!8m2!3d41.1668174!4d-8.5822007!16s%2Fg%2F11z5v40rf1!19sChIJA8Ica8ZlJA0RhHpuelaNv9M?authuser=0&hl=pt-BR&rclk=1,No,Hospedaria
"Mo House, Alojamento Local",http://www.mohouse.pt/,+351962407770,"R. de Belomonte 81, 4050-253 Porto, Portugal","4,8",,PT,R. de Belomonte 81,41.1424467,-8.6168716,"Hospedaria in Porto, Portugal","https://www.google.com/maps/place/Mo+House,+Alojamento+Local/data=!4m10!3m9!1s0xd24651e3d6cfcb7:0x6433e3bdf92fb55a!5m2!4m1!1i2!8m2!3d41.1424467!4d-8.6168716!16s%2Fg%2F11f4wtswtl!19sChIJt_xsPR5lJA0RWrUv-b3jM2Q?authuser=0&hl=pt-BR&rclk=1",No,Hotel 4 estrelas
Porto Lounge Hostel & Guesthouse,http://portoloungehostel.com/,+351222085196,"Rua do Almada 317, 4050-038 Porto, Portugal","4,6",,PT,Rua do Almada 317,41.1495543,-8.6122017,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Porto+Lounge+Hostel+%26+Guesthouse/data=!4m10!3m9!1s0xd2464fcc9055cbd:0x68024c8f8a7e87aa!5m2!4m1!1i2!8m2!3d41.1495543!4d-8.6122017!16s%2Fg%2F11cfg0_yc!19sChIJvVwFyfxkJA0Rqod-io9MAmg?authuser=0&hl=pt-BR&rclk=1,No,Hotel 2 estrelas
