Name,Website,Phone,Address,Rating,Reviews_Count,State,Location_Name,Latitude,Longitude,Search_Query,URL,Permanently_Closed,Category,Email
Hospedaria Bela Vista,,'+351933546631,"4050-350 Porto, Portugal","4,6",,PT,,41.1600657,-8.6237067,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Hospedaria+Bela+Vista/data=!4m10!3m9!1s0xd2465a788774831:0xf680a129514e5c1c!5m2!4m1!1i2!8m2!3d41.1600657!4d-8.6237067!16s%2Fg%2F1tw_pjn7!19sChIJMUh3iKdlJA0RHFxOUSmhgPY?authuser=0&hl=pt-BR&rclk=1,No,Hospedaria,
Hospedaria do seixo,,'+351229515504,"R. Nova do Seixo 313, 4460-383 Porto, Portugal","3,1",,PT,R. Nova do Seixo 313,41.1822691,-8.6311072,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Hospedaria+do+seixo/data=!4m10!3m9!1s0xd2465c6991f0cdf:0x880b62047ba6d527!5m2!4m1!1i2!8m2!3d41.1822691!4d-8.6311072!16s%2Fg%2F11dfgqc80s!19sChIJ3wwfmcZlJA0RJ9WmewRiC4g?authuser=0&hl=pt-BR&rclk=1,No,Hotel,
Hospedaria do Bonfim,,,"R. do Bonfim 316, 4300-096 Porto, Portugal","4,3",,PT,R. do Bonfim 316,41.1500215,-8.5953744,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Hospedaria+do+Bonfim/data=!4m10!3m9!1s0xd2465007dfbce0d:0x729ce1b8e3e85704!5m2!4m1!1i2!8m2!3d41.1500215!4d-8.5953744!16s%2Fg%2F11ymfcm6sm!19sChIJDc77fQBlJA0RBFfo47jhnHI?authuser=0&hl=pt-BR&rclk=1,No,Hotel 2 estrelas,
Praça 66 Guest House,,,"Praça do Marquês de Pombal 66, 4000-390 Porto, Portugal","4,8",,PT,Praça do Marquês de Pombal 66,41.1608331,-8.6040131,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Pra%C3%A7a+66+Guest+House/data=!4m10!3m9!1s0xd24645816e422e9:0xd6bf6bf54658212!5m2!4m1!1i2!8m2!3d41.1608331!4d-8.6040131!16s%2Fg%2F11dfgqnsyf!19sChIJ6SLkFlhkJA0REoJlVL_2aw0?authuser=0&hl=pt-BR&rclk=1,No,Hotel 3 estrelas,
LightPoint,,'+351223193734,"R. do Freixo 1800, 4300-215 Porto, Portugal","4,4",,PT,R. do Freixo 1800,41.1472706,-8.5884448,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/LightPoint/data=!4m10!3m9!1s0xd246491604c3bb9:0x800c382086367efc!5m2!4m1!1i2!8m2!3d41.1472706!4d-8.5884448!16s%2Fg%2F11gh20b63_!19sChIJuTtMYJFkJA0R_H42hiA4DIA?authuser=0&hl=pt-BR&rclk=1,No,Hotel 2 estrelas,
Sport Hostel in Porto,,'+351223265681,"R. de Santa Catarina nº 313, 4000-451 Porto, Portugal","3,3",,PT,R. de Santa Catarina nº 313,41.1489971,-8.6061699,"Hospedaria in Porto, Portugal",https://www.google.com/maps/place/Sport+Hostel+in+Porto/data=!4m10!3m9!1s0xd2464e548bc069f:0xd3d7f124943ff509!5m2!4m1!1i2!8m2!3d41.1489971!4d-8.6061699!16s%2Fg%2F11b73jmf92!19sChIJnwa8SOVkJA0RCfU_lCTx19M?authuser=0&hl=pt-BR&rclk=1,No,Hotel 3 estrelas,
Park Hotel Porto Aeroporto,,,"Av. do Aeroporto 241, 4470-558 Maia, Portugal","4,1",,PT,Av. do Aeroporto 241,41.237903,-8.667299,"Hotel de 3 estrelas in Porto, Portugal",https://www.google.com/maps/place/Park+Hotel+Porto+Aeroporto/data=!4m10!3m9!1s0xd24687c4f541e8f:0xd8165b238c6be397!5m2!4m1!1i2!8m2!3d41.237903!4d-8.667299!16s%2Fg%2F1hc1trq1j!19sChIJjx5UT3xoJA0Rl-NrjCNbFtg?authuser=0&hl=pt-BR&rclk=1,No,Hotel 3 estrelas,
Holiday Inn Express Porto City Centre by IHG,,,"Rua De Santa Catarina, R. Guedes de Azevedo 34 661 E 663, 4000-454 Porto, Portugal","4,4",,PT,R. Guedes de Azevedo 34 661 E 663,41.152202,-8.605305,"Hotel de 3 estrelas in Porto, Portugal",https://www.google.com/maps/place/Holiday+Inn+Express+Porto+City+Centre+by+IHG/data=!4m10!3m9!1s0xd2464fa7e38bd03:0x78a72971f9b0b8dd!5m2!4m1!1i2!8m2!3d41.152202!4d-8.605305!16s%2Fg%2F11gk_gw978!19sChIJA704fvpkJA0R3biw-XEpp3g?authuser=0&hl=pt-BR&rclk=1,No,Hotel 3 estrelas,
SwissPorto Guest House,,'+351225020414,"R. da Vigorosa 736, 4200-523 Porto, Portugal","3,2",,PT,R. da Vigorosa 736,41.1663411,-8.5901186,"Hotel de 3 estrelas in Porto, Portugal",https://www.google.com/maps/place/SwissPorto+Guest+House/data=!4m10!3m9!1s0xd24659e671d7b5b:0xb3f6dc4a412a69e5!5m2!4m1!1i2!8m2!3d41.1663411!4d-8.5901186!16s%2Fg%2F11sv166vxq!19sChIJW3sdZ55lJA0R5WkqQUrc9rM?authuser=0&hl=pt-BR&rclk=1,No,Hotel 3 estrelas,
"Apartamentos turísticos S. Bento Residences, Porto São Bento",,,"R. de Passos Manuel 76, 4000-450 Porto, Portugal",,,PT,R. de Passos Manuel 76,41.147087,-8.6074504,"Hospedagem domiciliar in Porto, Portugal","https://www.google.com/maps/place/Apartamentos+tur%C3%ADsticos+S.+Bento+Residences,+Porto+S%C3%A3o+Bento/data=!4m7!3m6!1s0xd24650002562985:0x6d3c04d6f1529e07!8m2!3d41.147087!4d-8.6074504!16s%2Fg%2F11nv166nqg!19sChIJhSlWAgBlJA0RB55S8dYEPG0?authuser=0&hl=pt-BR&rclk=1",No,Hospedagem domiciliar,
