Nosaukums,Mitnes_valsts,Registracijas_numurs_mitnes_valsti,Juridiska_adrese,Komersanta_veids,Aktuala_kvalifikacijas_klase,Aktualas_kvalifikacijas_klases_pieskirsanas_datums,Registra_numurs,Registrets,Aktualais_statuss,Kontaktu_adrese,Kontaktu_talrunis,Kontaktu_e_pasta_adrese,Majas_lapa,Darbibas_sferas,Darbibas_jomas
"Sabiedrība ar ierobežotu atbildību ""Daimont""",LV,40003890520,"Ogres nov., Ogresgala pag., Ciemupe, ""Eniņi""",Sabiedrība ar ierobežotu atbildību,,,11239-R,2013-12-20,Izslēgts,"""Eniņi"", Ciemupe, Ogresgala pag, Ogres nov, LV - 5041",27406716,daimont.sia@inbox.lv,"",,
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,5. klase,2017-06-29,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,4. klase,2019-08-12,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,4. klase,2019-06-12,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,5. klase,2018-07-31,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,4. klase,2020-10-27,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,4. klase,2022-11-10,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,4. klase,2021-11-03,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,4. klase,2023-11-23,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,4. klase,2024-12-06,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""TOPAVEKO""",LV,40103741893,"""Starķi"", Katlakalns, Ķekavas pag., Ķekavas nov., LV-2111",Sabiedrība ar ierobežotu atbildību,4. klase,2025-12-10,11238-R,2013-12-20,Aktīvs,"""Starķi"", Ķekavas pag, Ķekavas nov, LV - 2123",29458958,jzants@inbox.lv,"","Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Komandītsabiedrība ""Eiro Development""",LV,40103730300,"Rīga, Gāles iela 2",Komandītsabiedrība,,,11237-R,2013-12-20,Izslēgts,"Gāles iela 2, Rīga, LV - 1015",,,,,
"Sabiedrība ar ierobežotu atbildību ""AP-HELP""",LV,40103167083,"Bišu iela 3, Spilve, Babītes pag., Mārupes nov., LV-2101",Sabiedrība ar ierobežotu atbildību,,,11236-R,2013-12-20,Izslēgts,"Kalnciema iela 40, Rīga",66077112,info@ap-help.lv,www.ap-help.lv,,
"SIA ""CI Project Management""",LV,40003886366,"Krišjāņa Valdemāra iela 21-11, Rīga, LV-1010",Sabiedrība ar ierobežotu atbildību,,,11235-R,2013-12-20,Izslēgts,"Krišjāņa Valdemāra iela 21-11, Rīga, LV - 1010",,,www.colliers.com,,
"Sabiedrība ar ierobežotu atbildību ""Jumta kores""",LV,40103541904,"Siguldas nov., Allažu pag., Allaži, Lauku iela 1",Sabiedrība ar ierobežotu atbildību,,,11234-R,2013-12-20,Izslēgts,"Lauku iela 1, Allaži, Allažu pag, Siguldas nov, LV - 2154",,,,,
"Sabiedrība ar ierobežotu atbildību ""Stikla dizaina grupa""",LV,40103689511,"Matīsa iela 92, Rīga, LV-1009",Sabiedrība ar ierobežotu atbildību,5. klase,2017-06-29,11233-R,2013-12-20,Aktīvs,"Matīsa iela 92, Rīga, LV - 1009",29496283,ziedonis@glazeri.lv,,Ēku būvdarbu vadīšana un būvuzraudzība;Arhitekta prakse,
"Sabiedrība ar ierobežotu atbildību ""Stikla dizaina grupa""",LV,40103689511,"Matīsa iela 92, Rīga, LV-1009",Sabiedrība ar ierobežotu atbildību,5. klase,2019-05-10,11233-R,2013-12-20,Aktīvs,"Matīsa iela 92, Rīga, LV - 1009",29496283,ziedonis@glazeri.lv,,Ēku būvdarbu vadīšana un būvuzraudzība;Arhitekta prakse,
