No.,Công ty,Chức danh,Người liên hệ,SĐT,Liên Hệ,Email,Liên Hệ mail,Địa chỉ,Lương,Ngày đăng,Hạn tuyển,Check gửi,Last Subject,Last Body HTML,Trạng thái Reply,Lần Follow-up,Ngày Follow-up gần nhất,Mailbox đã dùng,Category
1,A2Z GANNET,,,'26335050,www.atoz-group.eu,office@atoz-group.eu,,"Raunas iela 44 K-1, Rīga, LV-1039",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
2,AB METAL,,,'26520970,www.metal.lv,balodis@metal.lv,,"Brīvības iela 31/33, Liepāja, LV-3401",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
3,ADK,,,'67600319,www.adk.lv,adk@adk.lv,,"Palsa, Pērnciems, Salas pag., Mārupes nov., LV-2105",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
4,AERONES ENGINEERING,,,'28090999,www.aerones.com,info@aerones.com,,"Katlakalna iela 11, Rīga, LV-1073",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
5,AGAMIKS,,,'24205857,www.agamiks.lv,info@agamiks.lv,,"Zemnieku iela 2, Liepāja, LV-3401",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
6,AIROK,,,'26133533,www.airok.lv,andris.arhinovics@airok.lv,,"Maskavas iela 433, Rīga, LV-1063",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
7,AISIS,,,'29258420,www.aisis.lv,info@aisis.lv,,"Krūzes, Iecava, Bauskas nov., LV-3913",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
8,ALLATHERM,,,'29225267,www.allatherm.com,info@allatherm.com,,"Pulka iela 3 k-7, Rīga, LV-1007",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
9,APPLY,,,'25697383,www.applyit.lv,info@applyit.lv,,"Ieriķu iela 5, Rīga, LV-1084",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
10,ARCO COLOR LATVIJA,,,'29262825,www.arcocolor.lv,janis@arcocolor.lv,,"Rīgas iela 115C, Salaspils, Salaspils novads, LV-2169",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
11,ARG METINĀTAVA,,,'29888795,www.argmetinatava.lv,info@argmetinatava.lv,,"Brīvības bulvāris 28-5, Jelgava, LV-3004",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
12,ARITEH,,,'26435389,www.ariteh.lv/,info@ariteh.lv,,"Mārtiņmuiža, Mārupe, Mārupes novads, LV-2167",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
13,BALT BRAND,,,'67388688,www.baltbrand.eu,info@baltbrand.eu,,"Rīgas iela 115A, Salaspils, Salaspils nov., LV-2169",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
14,BALTIC BEARING COMPANY-RIGA,,,'66052525,www.bbcr.eu,company@bbcr.eu,,"Traleru iela 2C, Rīga, LV-1030",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
15,BALTIC OPEN SOLUTIONS CENTER,,,'29455700,www.bosc.lv,bosc@bosc.lv,,"Ainažu iela 13, Saulkrasti, Saulkrastu nov., LV-2160",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
16,BALTIC STEEL GROUP,,,'28646632,www.bsg.lv,info@bsg.lv,,"Antenas iela 3, Rīga, LV-1004",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
