name,email,website,phone,address,member_id,profile_url
A2Z GANNET,office@atoz-group.eu,www.atoz-group.eu,+371 26335050,"Raunas iela 44 K-1, Rīga, LV-1039",618,https://www.masoc.lv/en/members/member-database/618
AB METAL,balodis@metal.lv,www.metal.lv,+371 26520970,"Brīvības iela 31/33, Liepāja, LV-3401",120,https://www.masoc.lv/en/members/member-database/120
ADK,adk@adk.lv,www.adk.lv,+371 67600319,"Palsa, Pērnciems, Salas pag., Mārupes nov., LV-2105",610,https://www.masoc.lv/en/members/member-database/610
AERONES ENGINEERING,info@aerones.com,www.aerones.com,+371 28090999,"Katlakalna iela 11, Rīga, LV-1073",586,https://www.masoc.lv/en/members/member-database/586
AGAMIKS,info@agamiks.lv,www.agamiks.lv,+371 24205857,"Zemnieku iela 2, Liepāja, LV-3401",520,https://www.masoc.lv/en/members/member-database/520
AIROK,andris.arhinovics@airok.lv,www.airok.lv,+371 26133533,"Maskavas iela 433, Rīga, LV-1063",445,https://www.masoc.lv/en/members/member-database/445
AISIS,info@aisis.lv,www.aisis.lv,+371 29258420,"Krūzes, Iecava, Bauskas nov., LV-3913",666,https://www.masoc.lv/en/members/member-database/666
ALLATHERM,info@allatherm.com,www.allatherm.com,+371 29225267,"Pulka iela 3 k-7, Rīga, LV-1007",632,https://www.masoc.lv/en/members/member-database/632
APPLY,info@applyit.lv,www.applyit.lv,+371 25697383,"Ieriķu iela 5, Rīga, LV-1084",606,https://www.masoc.lv/en/members/member-database/606
ARCO COLOR LATVIJA,janis@arcocolor.lv,www.arcocolor.lv,+371 29262825,"Rīgas iela 115C, Salaspils, Salaspils novads, LV-2169",480,https://www.masoc.lv/en/members/member-database/480
ARG METINĀTAVA,info@argmetinatava.lv,www.argmetinatava.lv,+371 29888795,"Brīvības bulvāris 28-5, Jelgava, LV-3004",664,https://www.masoc.lv/en/members/member-database/664
ARITEH,info@ariteh.lv,www.ariteh.lv/,+371 26435389,"Mārtiņmuiža, Mārupe, Mārupes novads, LV-2167",554,https://www.masoc.lv/en/members/member-database/554
BALT BRAND,info@baltbrand.eu,www.baltbrand.eu,+371 67388688,"Rīgas iela 115A, Salaspils, Salaspils nov., LV-2169",461,https://www.masoc.lv/en/members/member-database/461
BALTIC BEARING COMPANY-RIGA,company@bbcr.eu,www.bbcr.eu,+371 66052525,"Traleru iela 2C, Rīga, LV-1030",454,https://www.masoc.lv/en/members/member-database/454
BALTIC OPEN SOLUTIONS CENTER,bosc@bosc.lv,www.bosc.lv,+371 29455700,"Ainažu iela 13, Saulkrasti, Saulkrastu nov., LV-2160",650,https://www.masoc.lv/en/members/member-database/650
BALTIC STEEL GROUP,info@bsg.lv,www.bsg.lv,+371 28646632,"Antenas iela 3, Rīga, LV-1004",637,https://www.masoc.lv/en/members/member-database/637
BALTIC WASTE & ENERGY GROUP,info@bweg.eu,www.bweg.eu,+371 67325673,"Mārupes iela 4, Rīga, LV-1002",661,https://www.masoc.lv/en/members/member-database/661
BALTIC ZINC TECHNICS,bzt@bzt.lv,www.bzt.lv,+371 67606431,"Antenas iela 3A, Rīga, LV-1004",379,https://www.masoc.lv/en/members/member-database/379
BALTIJAS GUMIJAS FABRIKA,info@bgfrubber.lv,www.BGFrubber.com,+371 67187534,"Vienības gatve 87D-2, Rīga, LV-1004",234,https://www.masoc.lv/en/members/member-database/234
BALTIJAS METĀLAPSTRĀDES GRUPA,info@bmgroup.lv,www.bmgroup.lv,+371 67387337,"Tēraudlietuves 23, Rīga, LV-1026",598,https://www.masoc.lv/en/members/member-database/598
BALTMA,info@baltma.lv,www.baltma.lv,+371 64207220,"Kauguru iela 19, Valmiera, Valmieras nov., LV-4201",524,https://www.masoc.lv/en/members/member-database/524
BGM INDUSTRY,elvijs@bgmindustry.lv,www.bgmindustry.lv,+371 20011351,"Tīnūžu šoseja 17, Ikšķile, Ogres nov., LV-5052",532,https://www.masoc.lv/en/members/member-database/532
BILLETWORKS,info@billetworks.eu,www.billetworks.eu,+371 28328085,"Jelgavas iela 23B, Auce, Dobeles nov., LV-3708",663,https://www.masoc.lv/en/members/member-database/663
BLESTE RAŽOŠANAS KOMERCFIRMA,info@bleste.lv,www.bleste.lv,"+371 67618760, +371 67619811","''Sloka 7122'', Jūrmala, LV-2011",539,https://www.masoc.lv/en/members/member-database/539
BMG CONSTRUCTION,office@bmgc.lv,www.bmgc.lv,+371 29250930,"Tēraudlietuves iela 24, Rīga, LV-1026",609,https://www.masoc.lv/en/members/member-database/609
BUCHER MUNICIPAL,sweepers.lv@buchermunicipal.com,www.buchermunicipal.com/lv/lv,+371 63661050,"Ganību iela 105, Ventspils, LV-3601",394,https://www.masoc.lv/en/members/member-database/394
CALJAN LSEZ,info.lv@caljan.com,www.caljan.com,+371 63489530,"Brīvības iela 142A, Liepāja, LV-3401",517,https://www.masoc.lv/en/members/member-database/517
CIEDRA PRO,info@ciedra.lv,www.ciedra.lv,+371 64264856,"Valmiermuižas iela 1, Valmiermuiža, Valmieras pag., Valmieras nov., LV-4219",432,https://www.masoc.lv/en/members/member-database/432
CNC EXPERTS,info@cncexperts.lv,www.cncexperts.lv,+371 25445777,"Šampētera iela 36, Rīga, LV-1046",622,https://www.masoc.lv/en/members/member-database/622
CNC LATVIA,info@cnclatvia.lv,www.cnclatvia.lv,+371 29455855,"Jūrkalnes iela 1 K-1, Rīga, LV-1046",651,https://www.masoc.lv/en/members/member-database/651
CNC SAAN,info@cncsaan.lv,www.cncsaan.lv,+371 25141089,"Kārļa Ulmaņa gatve 2, Rīga, LV-1004",428,https://www.masoc.lv/en/members/member-database/428
COMPOR,info@compor.lv,www.compor.eu,+371 27822444,"Institūta iela 1 K-3, Salaspils, Salaspils.nov., lv-2169",652,https://www.masoc.lv/en/members/member-database/652
CRYOGENIC AND VACUUM SYSTEMS,info@cvsys.eu,sublimat.lv,+371 24807941,"Andreja iela 7/9, Ventspils, LV-3601",634,https://www.masoc.lv/en/members/member-database/634
CUTCENTRE,cutcentre@elmemetall.lv,www.elmemetall.eu,+371 67139051,"Katlakalna iela 9A, Rīga, LV-1073",392,https://www.masoc.lv/en/members/member-database/392
CW TECHNICS,info@cwtechnics.lv,www.cwtechnics.lv,+371 26669724,"Dzelzavas iela 117, Rīga, LV-1021",669,https://www.masoc.lv/en/members/member-database/669
DAMBIS,info@dambis.com,dambis.com/lv/,+371 67387001,"Ganību dambis 24A, Rīga, LV-1005",668,https://www.masoc.lv/en/members/member-database/668
DEFENCE PARTNERSHIP LATVIA,arnis.irbens@patriagroup.com,www.patriagroup.com,+371 22463887,"Meistaru iela 4, Valmiera, Valmieras nov., LV-4201",599,https://www.masoc.lv/en/members/member-database/599
DESIGN TREE,info@designtree.lv,www.designtree.lv,+371 28673329,"Muižas iela 15, Ādaži, Ādažu nov., LV-2164",662,https://www.masoc.lv/en/members/member-database/662
DIGAS,info@digasgroup.com,digasgroup.com/,+371 29715632,"Matīsa iela 69A-22, Rīga, LV-1009",644,https://www.masoc.lv/en/members/member-database/644
DINEX LATVIA,dinex@dinex.lv,www.dinex.dk,+371 63020200,"Rubeņu ceļš 58, Raubēni, Cenu pag., Jelgavas nov., LV-3002",196,https://www.masoc.lv/en/members/member-database/196
DUROC MACHINE TOOL,info.latvia@duroc.com,www.durocmachinetool.lv,+371 67355175,"Jaunā Līgo iela 33, Berģi, Garkalnes pag., Ropažu nov., LV-1024",552,https://www.masoc.lv/en/members/member-database/552
EAST METAL,info@eastmetal.lv,www.eastmetal.com,+371 63781704 (Dobele); +371 65456001 (Daugavpils),"Uzvaras iela 55a, Dobele, Dobeles nov., LV-3701",168,https://www.masoc.lv/en/members/member-database/168
ECOHEAT TECHNOLOGIES,info@ecoheatholdings.lv,ecoheatholdings.lv,"+371 28611499, +371 25616180","Rubeņu ceļš 2B, Jelgava, LV-3002",653,https://www.masoc.lv/en/members/member-database/653
EHT FABRIK,info@ehtfabrik.com,www.ehtfabrik.com,+371 67933733,"Ozolu iela 28 k-1, Jaunmārupe, Mārupes pag., Mārupes nov., LV-2166",200,https://www.masoc.lv/en/members/member-database/200
EKO EL,info@ekoel.lv,www.ekoel.lv,+371 20034505,"Mazdzeņi, Tīnūžu pag., Ogres nov., LV-5001",452,https://www.masoc.lv/en/members/member-database/452
EMJ METĀLS,info@emjmetals.lv,www.emjmetals.lv,+371 26661153,"Džipi, Ķekavas pag., Ķekavas nov., LV-2123",378,https://www.masoc.lv/en/members/member-database/378
ENERGOFIRMA ''JAUDA'',info@jauda.com,www.jauda.com,+371 67725789,"Krustpils iela 119a, Rīga, LV-1057",425,https://www.masoc.lv/en/members/member-database/425
ENERGOLUKSS,info@energolukss.lv,www.energolukss.lv,+371 67542223,"Ulbrokas iela 46, k-2, Rīga, LV-1021",630,https://www.masoc.lv/en/members/member-database/630
ERCON,info@ercon.lv,www.ercon.lv,+371 26666158,"Dzirnavu iela 23, Saldus, Saldus nov., LV-3801",642,https://www.masoc.lv/en/members/member-database/642
ESAB OY LATVIJAS FILIĀLE,maris.zvirbulis@esab.lv,www.esab.lv,+371 29480006,"Kleistu iela 24, Rīga, LV-1067",292,https://www.masoc.lv/en/members/member-database/292
ETR AUTOMATION,etrautomation@etrautomation.lv,www.etrautomation.lv,"+371 28809442, +371 27815709","Vecstrundas, Mazsalacas pag., LV-4215",617,https://www.masoc.lv/en/members/member-database/617
EXIGUM,sales@exigum.com,www.exigum.com,+371 67673000,"Ventspils iela 50 K-6, Rīga, LV-1002",537,https://www.masoc.lv/en/members/member-database/537
FESTO,info_lv@festo.com,www.festo.lv,+371 67577864,"Gunāra Astras iela 8B, Rīga, LV-1082",327,https://www.masoc.lv/en/members/member-database/327
FILTRI,filtri@filtri.lv,www.filtri.lv,+371 67466674,"Lidostas parks 5, Vismaņi, Mārupes pag., Mārupes nov., LV-2167",580,https://www.masoc.lv/en/members/member-database/580
FLOTLIFE,ervins@flotlife.com,flotlife.com/,+371 26196743,"Mazcenu aleja 37, Jaunmārupe, Mārupes pag., Mārupes nov., LV-2166",673,https://www.masoc.lv/en/members/member-database/673
FONONS,fonons@latnet.lv,www.fonons.lv,+371 29110239,"Ropažu iela 104, Rīga, LV-1006",161,https://www.masoc.lv/en/members/member-database/161
FORBERG PRODUCTION,sales@forberg.no,www.forberg-international.com,+371 26672554,"Mālu iela 30 K-1, Rīga, LV-1058",678,https://www.masoc.lv/en/members/member-database/678
