Name,Website,Phone,Address,Rating,Reviews_Count,State,Location_Name,Latitude,Longitude,Search_Query,URL,Permanently_Closed,Category
承恩土木包工業,http://www.032205386.com.tw/,'+88632205386,330台灣桃園市桃園區中平里中山路685巷60號,5.0,2,桃園市,330桃園市,24.9895087,121.2927661,"土木工程公司 in Xinfeng Township, Taiwan",https://www.google.com/maps/place/%E6%89%BF%E6%81%A9%E5%9C%9F%E6%9C%A8%E5%8C%85%E5%B7%A5%E6%A5%AD/data=!4m7!3m6!1s0x34681f11363909e7:0xfeb8382f88ccc6a3!8m2!3d24.9895087!4d121.2927661!16s%2Fg%2F1pzrgqw6b!19sChIJ5wk5NhEfaDQRo8bMiC84uP4?authuser=0&hl=zh-TW&rclk=1,No,承包商
"中圓櫻墅(新竹市元培街)中圓建設,新竹自地自建,新竹房屋買賣,新竹房屋自售",http://035300303.blogspot.tw/,'+88635300303,300台灣新竹市香山區香山里市11鄉道,5.0,1,新竹市,300新竹市,24.7762974,120.9318072,"房屋建造商 in Wufeng Township, Taiwan","https://www.google.com/maps/place/%E4%B8%AD%E5%9C%93%E6%AB%BB%E5%A2%85%28%E6%96%B0%E7%AB%B9%E5%B8%82%E5%85%83%E5%9F%B9%E8%A1%97%29%E4%B8%AD%E5%9C%93%E5%BB%BA%E8%A8%AD,%E6%96%B0%E7%AB%B9%E8%87%AA%E5%9C%B0%E8%87%AA%E5%BB%BA,%E6%96%B0%E7%AB%B9%E6%88%BF%E5%B1%8B%E8%B2%B7%E8%B3%A3,%E6%96%B0%E7%AB%B9%E6%88%BF%E5%B1%8B%E8%87%AA%E5%94%AE/data=!4m7!3m6!1s0x34684a8e484c9e3d:0xcca553149f93c6e8!8m2!3d24.7762974!4d120.9318072!16s%2Fg%2F11b6tqx_6s!19sChIJPZ5MSI5KaDQR6MaTnxRTpcw?authuser=0&hl=zh-TW&rclk=1",No,建築公司
森園房屋工程行,http://038465355.com/,'+886952901959,973台灣花蓮縣吉安鄉北昌村自強路434號,,,花蓮縣,花蓮縣吉安鄉,23.9840819,121.5901463,"房屋建造商 in Yuli Township, Taiwan",https://www.google.com/maps/place/%E6%A3%AE%E5%9C%92%E6%88%BF%E5%B1%8B%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x34689fa39422a5a5:0x68325a66daf921ed!8m2!3d23.9840819!4d121.5901463!16s%2Fg%2F11gjw17t1z!19sChIJpaUilKOfaDQR7SH52mZaMmg?authuser=0&hl=zh-TW&rclk=1,No,自訂房屋建築商
富盛工程行,http://www.0492262588.com.tw/,'+886492262588,540台灣南投縣南投市平山里平山二路66巷18號,4.8,4,南投縣,南投縣南投市,23.9201011,120.6730861,"承包商 in Citong Township, Taiwan",https://www.google.com/maps/place/%E5%AF%8C%E7%9B%9B%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x3469319a44909411:0x7f2dbced3c9efc0e!8m2!3d23.9201011!4d120.6730861!16s%2Fg%2F1pzxyxj00!19sChIJEZSQRJoxaTQRDvyePO28LX8?authuser=0&hl=zh-TW&rclk=1,No,建築公司
中榮工程,https://0906272829.com/,'+886906272829,412台灣臺中市大里區新明路12號15F,4.8,142,臺中市,412臺中市,24.1081538,120.6910085,"土木工程公司 in Yongjing Township, Taiwan",https://www.google.com/maps/place/%E4%B8%AD%E6%A6%AE%E5%B7%A5%E7%A8%8B/data=!4m7!3m6!1s0x34693cdcf04bf693:0x76eb228ab4e9fec7!8m2!3d24.1081538!4d120.6910085!16s%2Fg%2F11cs1hhbrn!19sChIJk_ZL8Nw8aTQRx_7ptIoi63Y?authuser=0&hl=zh-TW&rclk=1,No,建築修復服務
建築美學翻修房屋,https://0931949323.weebly.com/,'+886931949323,710台灣臺南市永康區東橋里東橋三路5巷11號,5.0,1,臺南市,710臺南市,23.017766,120.235457,"自訂房屋建築商 in Yongkang District, Taiwan",https://www.google.com/maps/place/%E5%BB%BA%E7%AF%89%E7%BE%8E%E5%AD%B8%E7%BF%BB%E4%BF%AE%E6%88%BF%E5%B1%8B/data=!4m7!3m6!1s0x346e773ba59cd351:0x8c74d763ccb1e907!8m2!3d23.017766!4d120.235457!16s%2Fg%2F11qbbywmyg!19sChIJUdOcpTt3bjQRB-mxzGPXdIw?authuser=0&hl=zh-TW&rclk=1,No,自訂房屋建築商
宏驛鋼鋁門窗,https://www.0932789516.com/,'+88687361917,900台灣屏東縣屏東市仁愛里和洋巷24號,5.0,1,屏東縣,屏東縣屏東市,22.6784162,120.494893,"建築公司 in Maolin District, Taiwan",https://www.google.com/maps/place/%E5%AE%8F%E9%A9%9B%E9%8B%BC%E9%8B%81%E9%96%80%E7%AA%97/data=!4m7!3m6!1s0x346e17ae19858fcb:0xdccd8dede1123580!8m2!3d22.6784162!4d120.494893!16s%2Fg%2F11h6f9d0nr!19sChIJy4-FGa4XbjQRgDUS4e2Nzdw?authuser=0&hl=zh-TW&rclk=1,No,建築公司
亞晟開發有限公司水泥屋 |蝸居|組合屋|移動式建築l鋼構,https://www.0933500501.com.tw/about-us.html,'+886933500501,542台灣南投縣草屯鎮北投里史館路致興巷94號,3.5,14,南投縣,南投縣草屯鎮,23.9816364,120.6589617,"自訂房屋建築商 in Yuchi Township, Taiwan",https://www.google.com/maps/place/%E4%BA%9E%E6%99%9F%E9%96%8B%E7%99%BC%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%B0%B4%E6%B3%A5%E5%B1%8B+%7C%E8%9D%B8%E5%B1%85%7C%E7%B5%84%E5%90%88%E5%B1%8B%7C%E7%A7%BB%E5%8B%95%E5%BC%8F%E5%BB%BA%E7%AF%89l%E9%8B%BC%E6%A7%8B/data=!4m7!3m6!1s0x346931d09d9e41b1:0xa117ec2307a69218!8m2!3d23.9816364!4d120.6589617!16s%2Fg%2F11sbfggww8!19sChIJsUGendAxaTQRGJKmByPsF6E?authuser=0&hl=zh-TW&rclk=1,No,建築公司
奕明地板,https://0955205219.com/,'+886955205219,241台灣新北市三重區永清里三和路四段396巷28號,5.0,2752,新北市,241新北市,25.0787483,121.4800956,"建築修復服務 in Yingge District, Taiwan",https://www.google.com/maps/place/%E5%A5%95%E6%98%8E%E5%9C%B0%E6%9D%BF/data=!4m7!3m6!1s0x3442a8d01cef0b63:0x6977041cd9bde20d!8m2!3d25.0787483!4d121.4800956!16s%2Fg%2F11bzyndxx_!19sChIJYwvvHNCoQjQRDeK92RwEd2k?authuser=0&hl=zh-TW&rclk=1,No,建築修復服務
神匠房屋泥作整修設計,http://0960766878.weebly.com/,,"號 No. 133大同二路 072613666, 前金區高雄市台灣 801",4.5,8,高雄市,前金區高雄市,22.6255198,120.2910249,"建築修復服務 in Yanpu Township, Taiwan",https://www.google.com/maps/place/%E7%A5%9E%E5%8C%A0%E6%88%BF%E5%B1%8B%E6%B3%A5%E4%BD%9C%E6%95%B4%E4%BF%AE%E8%A8%AD%E8%A8%88/data=!4m7!3m6!1s0x346e047b85681723:0xef7337d1588e3757!8m2!3d22.6255198!4d120.2910249!16s%2Fg%2F11c1qb9rt2!19sChIJIxdohXsEbjQRVzeOWNE3c-8?authuser=0&hl=zh-TW&rclk=1,No,建築修復服務
