No.,Công ty,Chức danh,Người liên hệ,SĐT,Liên Hệ,Email,Liên Hệ mail,Địa chỉ,Lương,Ngày đăng,Hạn tuyển,Check gửi,Last Subject,Last Body HTML,Trạng thái Reply,Lần Follow-up,Ngày Follow-up gần nhất,Mailbox đã dùng,Category
1,營陞營造工程有限公司,,,'065981198,https://inscen.com.tw/,s1382@ms12.hinet.net,,712台灣臺南市新化區大目降大道 1881巷9號,,,,,,,,0,,,Nhà thầu phụ công trình
2,承恩土木包工業,,,'032205386,http://www.032205386.com.tw/,ee5432@yahoo.com.tw,,330台灣桃園市桃園區中平里中山路685巷60號,,,,,,,,0,,,Nhà thầu
3,富盛工程行,,,'0492262588,http://www.0492262588.com.tw/,fusheng666@gmail.com,,540台灣南投縣南投市平山里平山二路66巷18號,,,,,,,,0,,,Công ty xây dựng
4,亞晟開發有限公司水泥屋 |蝸居|組合屋|移動式建築l鋼構,,,'0933500501,https://www.0933500501.com.tw/about-us.html,bobby500501@gmail.com,,542台灣南投縣草屯鎮北投里史館路致興巷94號,,,,,,,,0,,,Công ty xây dựng
5,嘉育室內裝潢- 彰化室內裝潢｜雲林室內裝潢｜嘉義室內裝潢,,,'0966553378,https://www.0966553378.com.tw/,chieh0912@hotmail.com,,631台灣雲林縣大埤鄉尚義村106號-1號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
6,奕明地板,,,'0955205219,https://0955205219.com/,k0800888868@gmail.com,,241台灣新北市三重區永清里三和路四段396巷28號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
7,帝郡股份有限公司、帝郡營造股份有限公司,,,'0435083115,https://www.168dijun.com/,emperorcounty@gmail.com,,50046台灣彰化縣彰化市西勢里忠孝街47號,,,,,,,,0,,,Đơn vị xây dựng nhà theo yêu cầu
8,宏邦營造股份有限公司/翔鴻營造,,,'047634536,https://www.7632076.com.tw/,g89g89@gmail.com,,500台灣彰化縣彰化市西勢里金馬路三段439號,,,,,,,,0,,,Công ty xây dựng
9,鴻毅企業工程行,,,'088631132,http://8631132.strikingly.com/,hoi8631132@yahoo.com.tw,,924台灣屏東縣崁頂鄉北勢村北勢路37之3號,,,,,,,,0,,,Nhà thầu
10,洲邑工程有限公司,,,,http://93812.find168.com.tw/,paul-chu333@chouyi.com.tw,,111台灣臺北市士林區承德里承德路四段83號7F-1,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
11,施健泰土木技師事務所,,,'062362527,https://www.888civil.com/vendor/com615,service@888civil.com,,701台灣臺南市東區裕農路320號,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
12,商宸建設有限公司,,,'047625586,https://www.ace-house.com.tw/,peter@ace-house.com.tw,,500台灣彰化縣彰化市崙平南路臨274之1號,,,,,,,,0,,,Công ty xây dựng
13,雅緻住宅事業股份有限公司,,,'034071122,https://www.aghouse.com.tw/,aghouse.tw@gmail.com,,325台灣桃園市龍潭區渴望里渴望一路158巷38號,,,,,,,,0,,,Công ty xây dựng
14,屏東自地自建,,,'0911029242,https://apple-work.com.tw/,f912260@gmail.com,,900台灣屏東縣屏東市廣東路954巷34弄3號。,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
15,裕發營造工程有限公司,,,'076438299,https://www.arch-world.com.tw/Company/95763.html,service@arch-world.com.tw,,832台灣高雄市林園區文賢里文賢南路226巷2號,,,,,,,,0,,,Công ty xây dựng
16,鎰興建設有限公司,,,'048381368,https://www.archessence888.com.tw/,arch.essence888@gmail.com,,510台灣彰化縣員林市三條里員林大道三段181號,,,,,,,,0,,,Công ty xây dựng
17,羅德一田,,,'053742100,https://archlotus.weebly.com/,archlotus@gmail.com,,61544台灣嘉義縣六腳鄉溪厝村４１,,,,,,,,0,,,Đơn vị xây dựng nhà
18,興悅HIGH LINE,,,'065932403,https://www.artsyplaza.com/artsy/,eugene.lee@gang-wei.com,,745台灣臺南市安定區,,,,,,,,0,,,Công ty xây dựng
19,居林木構建築｜美式風格室內設計,,,'0425608797,https://www.asperworld.com/,twang.apw@gmail.com,,428台灣臺中市大雅區橫山里永和路112-30號,,,,,,,,0,,,Công ty xây dựng
20,世久營造探勘工程股份有限公司,,,'0226984988,http://www.awec.com.tw/,awec@awec.com.tw,,221台灣新北市汐止區文化里新台五路一段81號7樓-2,,,,,,,,0,,,Công ty xây dựng
21,北揚建設股份有限公司,,,'062036955,http://www.be-young.com.tw/,by.young@msa.hinet.net,,710台灣臺南市永康區龍埔里永大路三段520號,,,,,,,,0,,,Công ty xây dựng
22,寶徠建設股份有限公司,,,,https://blgroup.com.tw/,service@blgroup.com.tw,,114台灣臺北市內湖區湖元里新湖一路303號4樓,,,,,,,,0,,,Công ty xây dựng
23,頭家哩賀房屋整修,,,'0978148676,http://www.bossliho.com/,bossliho2018@gmail.com,,606台灣嘉義縣中埔鄉和美村大義路71巷17號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
24,明裎建設有限公司,,,'073832856,https://bucolic-caramel-ad6c91.netlify.app/,mingcheng20040707@gmail.com,,830台灣高雄市鳳山區文德里文龍路81號4樓,,,,,,,,0,,,Công ty xây dựng
25,宏明麗山接待中心,,,'0287978199,https://buildhm.com/,hm@buildhm.com,,114台灣臺北市內湖區港都里內湖路一段675號1樓,,,,,,,,0,,,Đơn vị xây dựng nhà theo yêu cầu
26,阿德師建築台南老屋舊屋翻修自地自建水電管線浴室整新增建工程,,,'0913328366,https://www.buildtw.com/,yenzin@flashaim.com,,702台灣臺南市南區永華路一段233巷10號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
27,雲林 挖土機 山貓 拆除 填土 整地 營建「Tiktok雲林工程-大霖」壹程工程行,,,'0909931902,https://biglin.com.tw/,makis1491491@gmail.com,,647台灣雲林縣莿桐鄉五華村27-3號,,,,,,,,0,,,Công ty xây dựng
28,連建建設有限公司,,,'063361599,https://www.calife.com.tw/,ca300158@gmail.com,,701台灣臺南市東區大智里長東街71號,,,,,,,,0,,,Đơn vị xây dựng nhà
29,常詠營造股份有限公司,,,'062475079,http://www.chang-yung.com.tw/,chang.yung88@msa.hinet.net,,709台灣臺南市安南區佃東里海佃路四段 388巷2弄158號,,,,,,,,0,,,Công ty xây dựng
