name,town,category,discontinued
Grøndals & Co. ApS,"Abildvej 5G, 5700 Svendborg",Kho lạnh bảo quản,
Gormsen Gourmet ApS,"Stenhuggervej 12, 5230 Odense M",Cơ sở bọc màng và tái đóng gói,
"Uhrenholt A/S, Skodborg Mejeri","Skodborg Søndergade 25, 6630 Rødding",Cơ sở bọc màng và tái đóng gói,
COOL & GREEN,"Rønnevej 28, 5580 Nørre Aaby",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
ROYAL GREENLAND SEAFOOD A/S,"Lilledybet 6, 9220 Aalborg Øst",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
LL COLD ApS,"Visherredsvej 2, 6330 Padborg",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Trung tâm điều phối / xuất hàng; Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến,
Sydhavnens Frysehus,"Bådehavnsgade 48, 2450 København SV",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
Nagel Danmark A/S,"Thorsvej 19, 6330 Padborg",Kho lạnh bảo quản,
Lineage Copenhagen,"Kanalholmen 25, 2650 Hvidovre",Tàu lạnh (tàu chở hàng bảo quản lạnh),
Constellation Cold Logistics Denmark A/S,"Industrivej 2, 6330 Padborg",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Cơ sở / xưởng pha lóc (thịt),
Constellation Cold Logistics Denmark A/S - Padborg Nord,"Transitvej 8, 6330 Padborg",Kho lạnh bảo quản,
AABENRAA FRYSEHUS A/S,"Øster Madevej 5, 6200 Aabenraa",Kho lạnh bảo quản,
Hirtshals Stevedore Aps,"Søren Nordbysvej 5, 9850 Hirtshals",Kho lạnh bảo quản,
Nagel Liller A/S,"Frostvej 14, 7100 Vejle",Kho lạnh bảo quản,
House of Foods A/S,"Sundsholmen 12, 9400 Nørresundby",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
DSV Road A/S,"Søndervang 27, 6500 Vojens",Kho lạnh bảo quản,
Lineage Regstrup,"Virkelyst 7, 4420 Regstrup",Kho lạnh bảo quản,
DENCON FOODS A/S,"Finlandsvej 16, 6100 Haderslev",Kho lạnh bảo quản,
"Langø Fiskeeksport-Langø- Havn, Østre Mole, Langø","Havnevej 16, Privat, 4900 Nakskov",Kho lạnh bảo quản,
"Kølerum Tårshavn, V/Gert Hansen","Tårsvej 174, 4912 Harpelunde",Kho lạnh bảo quản,
Løkken op og udhalerspil/ Løkken fiskeriforening,"Sdr. Strandvej 21, 9480 Løkken",Kho lạnh bảo quản,
BC Catering Odense A/S,"Blækhatten 10, 5220 Odense SØ",Kho lạnh bảo quản,
KALU A/S,"Slagtehusgade 18, 1715 København V",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
HAVI Logistics ApS,"Transitvej 60, 7100 Vejle",Kho lạnh bảo quản,
"Jørn Saaby Transport APS, frysehuset","Humlemarken 20, 9500 Hobro",Kho lạnh bảo quản,
DFDS Køletransport A/S,"Lundvej 15, 8700 Horsens",Kho lạnh bảo quản,
Ohl Logistics A/S,"Plantagevej 7-8D-9-11 -18, 6330 Padborg",Kho lạnh bảo quản,
Dagrofa Logistik a/s,"Knud Højgaards Vej 19, 7100 Vejle",Kho lạnh bảo quản,
A/S Læsø Fiskeindustri,"Havnepladsen 6 C, Fiskepakhuset, 9940 Læsø",Kho lạnh bảo quản; Nhà máy chế biến; Nhà máy chế biến sản phẩm thủy sản tươi sống,
BC Catering Kolding A/S,"Kokbjerg 28, 6000 Kolding",Kho lạnh bảo quản,
Intercargo Coldstores ApS,"Trafikhavnskaj 19, 6700 Esbjerg",Kho lạnh bảo quản,
REMA Distribution Danmark A/S,"Marsalle 32, 8700 Horsens",Kho lạnh bảo quản,
AB Catering Holstebro A/S,"Nybo Høje 5, 7500 Holstebro",Kho lạnh bảo quản,
JN Spedition A/S,"Hvidelvej 15, 7400 Herning",Kho lạnh bảo quản,
"Fiskeriforeningen Ulvsund, v/Preben Nielsen","Kalvehave Havnevej 26, 4771 Kalvehave",Kho lạnh bảo quản,
Kramnitze havn Fiskehus,"Kramnitsevej 18, Kramnitse Havn, 4970 Rødby",Kho lạnh bảo quản,
A. Espersen A/S,"Bådebyggervej 6, 3700 Rønne",Kho lạnh bảo quản; Nhà máy chế biến sản phẩm thủy sản tươi sống,
Carl Jacobsen Engros,"Strevelinsvej 28, 7000 Fredericia",Kho lạnh bảo quản,
Lineage Vejle ApS,"Kristian Skous Vej 6, 7100 Vejle",Kho lạnh bảo quản,
