Name,Website,Phone,Address,Rating,Reviews_Count,State,Location_Name,Latitude,Longitude,Search_Query,URL,Permanently_Closed,Category
"Gottika, SIA",https://abc.lv/infolapa/gottika-sia,'+37127840988,"Miera iela 34, Salaspils, Salaspils pilsēta, Salaspils novads, LV-2169, Latvija",,,LV,Salaspils novads,56.8684561,24.3989013,"Galdniecība in Riga, Latvia","https://www.google.com/maps/place/Gottika,+SIA/data=!4m7!3m6!1s0x46e92d37f96b5221:0x935b43adc5ec00b7!8m2!3d56.8684561!4d24.3989013!16s%2Fg%2F11jpkcypj2!19sChIJIVJr-Tct6UYRtwDsxa1DW5M?authuser=0&hl=lv&rclk=1",No,Galdniecība
AL.DE.Mebel,http://aldemebel.lv/,'+37129794695,"Silikātu iela 7f, Kurzemes rajons, Rīga, LV-1016, Latvija","4,7",39,LV,Rīga,57.0273833,24.0316131,"Mēbeļu izgatavotājs in Riga, Latvia",https://www.google.com/maps/place/AL.DE.Mebel/data=!4m7!3m6!1s0x46eec44ad26ec989:0x933b4579ca1b98d6!8m2!3d57.0273833!4d24.0316131!16s%2Fg%2F11f3jv07zd!19sChIJiclu0krE7kYR1pgbynlFO5M?authuser=0&hl=lv&rclk=1,No,Mēbeļu izgatavotājs
ALSUM Mēbeles - Bukulti,https://alsum.lv/,'+37128739131,"Vadžu iela 18, Vidzemes priekšpilsēta, Rīga, LV-1024, Latvija","5,0",5,LV,Rīga,57.0069585,24.2643035,"Galdniecība in Riga, Latvia",https://www.google.com/maps/place/ALSUM+M%C4%93beles+-+Bukulti/data=!4m7!3m6!1s0x46eecdafa906fcf1:0x4ce03eb82ff99780!8m2!3d57.0069585!4d24.2643035!16s%2Fg%2F11ms2hxqj5!19sChIJ8fwGqa_N7kYRgJf5L7g-4Ew?authuser=0&hl=lv&rclk=1,No,Galdnieks
ALSUM Mēbeles - Rīga,https://alsum.lv/,'+37128739131,"Audēju iela 15, Centra rajons, Rīga, LV-1050, Latvija","5,0",3,LV,Rīga,56.9471381,24.1128914,"Mēbeļu izgatavotājs in Riga, Latvia",https://www.google.com/maps/place/ALSUM+M%C4%93beles+-+R%C4%ABga/data=!4m7!3m6!1s0x46eecf4279ad5c8d:0x4e26c4d8cd2b28a9!8m2!3d56.9471381!4d24.1128914!16s%2Fg%2F11myzlhx14!19sChIJjVyteULP7kYRqSgrzdjEJk4?authuser=0&hl=lv&rclk=1,No,Mēbeļu izgatavotājs
APLUSS,http://www.apluss.lv/,'+37126693939,"Stirnu iela 22, Vidzemes priekšpilsēta, Rīga, LV-1082, Latvija","4,5",43,LV,Rīga,56.9561614,24.1836644,"Mēbeļu izgatavotājs in Riga, Latvia",https://www.google.com/maps/place/APLUSS/data=!4m7!3m6!1s0x46eece6c763e40ab:0x2c0f9f8c23ffa908!8m2!3d56.9561614!4d24.1836644!16s%2Fg%2F11c2pjvfxp!19sChIJq0A-dmzO7kYRCKn_I4yfDyw?authuser=0&hl=lv&rclk=1,No,Mēbeļu izgatavotājs
B galdnieks,http://www.b-galdnieks.lv/,'+37129513503,"Jelgavas iela 66, Zemgales priekšpilsēta, Rīga, LV-1004, Latvija","4,6",19,LV,Rīga,56.9277246,24.0952515,"Galdniecība in Riga, Latvia",https://www.google.com/maps/place/B+galdnieks/data=!4m7!3m6!1s0x46eed03410ce12b5:0xb2a1bb0ce101895b!8m2!3d56.9277246!4d24.0952515!16s%2Fg%2F1tgn3f58!19sChIJtRLOEDTQ7kYRW4kB4Qy7obI?authuser=0&hl=lv&rclk=1,No,Galdnieks
Baldze,http://www.baltveide.lv/,'+37167703308,"Dzirnieku iela 16, Mārupe, Mārupes pagasts, Mārupes novads, LV-2167, Latvija","5,0",2,LV,Mārupes novads,56.919434,23.9922963,"Galdniecība in Riga, Latvia",https://www.google.com/maps/place/Baldze/data=!4m7!3m6!1s0x46eeda878ab2193d:0xcd81a628b26ee8ad!8m2!3d56.919434!4d23.9922963!16s%2Fg%2F11b6lk7xhs!19sChIJPRmyiofa7kYRrehusiimgc0?authuser=0&hl=lv&rclk=1,No,Galdnieks
SIA Eksentra,http://eksentra.com/,'+37127577243,"Kandavas iela 41a, Kurzemes rajons, Rīga, LV-1083, Latvija","5,0",,LV,Rīga,56.9482553,24.0399068,"Galdniecība in Riga, Latvia",https://www.google.com/maps/place/SIA+Eksentra/data=!4m7!3m6!1s0x46eed1f68554fa35:0x2f7082bc2a34e44a!8m2!3d56.9482553!4d24.0399068!16s%2Fg%2F11h5qptw8s!19sChIJNfpUhfbR7kYRSuQ0KryCcC8?authuser=0&hl=lv&rclk=1,No,Galdniecība
Emis,http://www.emis.lv/,'+37126264440,"Salamandras iela 1, Vidzemes priekšpilsēta, Rīga, LV-1024, Latvija","5,0",37,LV,Rīga,56.9949083,24.2353995,"Mēbeļu izgatavotājs in Riga, Latvia",https://www.google.com/maps/place/Emis/data=!4m7!3m6!1s0x46eecfb54dd57e1b:0xb191547109329308!8m2!3d56.9949083!4d24.2353995!16s%2Fg%2F11vy409dyg!19sChIJG37VTbXP7kYRCJMyCXFUkbE?authuser=0&hl=lv&rclk=1,No,Mēbeļu izgatavotājs
FORSETS | Mēbeles pēc pasūtījuma,https://www.facebook.com/forsets,'+37129476462,"Matīsa iela 92, Latgales priekšpilsēta, Rīga, LV-1009, Latvija","5,0",12,LV,Rīga,56.9496857,24.1484305,"Mēbeļu izgatavotājs in Riga, Latvia",https://www.google.com/maps/place/FORSETS+%7C+M%C4%93beles+p%C4%93c+pas%C5%ABt%C4%ABjuma/data=!4m7!3m6!1s0x46eece3af10d68a3:0x63d156c3569fd5b1!8m2!3d56.9496857!4d24.1484305!16s%2Fg%2F1thmd2g0!19sChIJo2gN8TrO7kYRsdWfVsNW0WM?authuser=0&hl=lv&rclk=1,No,Mēbeļu izgatavotājs
