No.,Công ty,Chức danh,Người liên hệ,SĐT,Liên Hệ,Email,Liên Hệ mail,Địa chỉ,Lương,Ngày đăng,Hạn tuyển,Check gửi,Last Subject,Last Body HTML,Trạng thái Reply,Lần Follow-up,Ngày Follow-up gần nhất,Mailbox đã dùng,Category
1,ALSUM Mēbeles - Bukulti,,,'28739131,https://alsum.lv/,info@alsum.lv,,"Vadžu iela 18, Vidzemes priekšpilsēta, Rīga, LV-1024, Latvija",,,,,,,,0,,,Thợ mộc
2,"Gottika, SIA",,,'27840988,https://abc.lv/infolapa/gottika-sia,serviss@heise.lv,,"Miera iela 34, Salaspils, Salaspils pilsēta, Salaspils novads, LV-2169, Latvija",,,,,,,,0,,,Xưởng mộc
3,APLUSS,,,'26693939,http://www.apluss.lv/,spec@apluss.lv,,"Stirnu iela 22, Vidzemes priekšpilsēta, Rīga, LV-1082, Latvija",,,,,,,,0,,,Nhà sản xuất đồ nội thất gỗ
4,Baldze,,,'67703308,http://www.baltveide.lv/,contact@baltveide.lv,,"Dzirnieku iela 16, Mārupe, Mārupes pagasts, Mārupes novads, LV-2167, Latvija",,,,,,,,0,,,Thợ mộc
5,B galdnieks,,,'29513503,http://www.b-galdnieks.lv/,info@b-galdnieks.lv,,"Jelgavas iela 66, Zemgales priekšpilsēta, Rīga, LV-1004, Latvija",,,,,,,,0,,,Thợ mộc
6,Emis,,,'26264440,http://www.emis.lv/,sleep@emis.lv,,"Salamandras iela 1, Vidzemes priekšpilsēta, Rīga, LV-1024, Latvija",,,,,,,,0,,,Nhà sản xuất đồ nội thất gỗ
7,Galdniecība HEKO,,,'22020233,https://www.hekogaldnieciba.lv/,heko@inbox.lv,,"Kvinta, Salas pagasts, Mārupes novads, LV-2105, Latvija",,,,,,,,0,,,Xưởng mộc
8,Koka Meistars,,,'29119369,http://www.kokameistars.lv/kontakti/,kokameistars@gmail.com,,"Līksnas iela 9/1, Latgales priekšpilsēta, Rīga, LV-1021, Latvija",,,,,,,,0,,,Xưởng mộc
9,Mēbeļu darbnīca,,,,http://mebeludarbnica.lv/,info@mebeludarbnica.lv,,"Krustabaznīcas iela 11 k-21, Vidzemes priekšpilsēta, Rīga, LV-1006, Latvija",,,,,,,,0,,,Xưởng mộc
10,The Room Studio,,,'27780077,https://www.theroomstudio.lv/,info@theroomstudio.lv,,"Zolitūdes iela 70A, Zemgales priekšpilsēta, Rīga, LV-1046, Latvija",,,,,,,,0,,,Nhà sản xuất đồ nội thất gỗ
11,"Salons Arka, SIA, Biroja mēbeļu salons",,,'67892773,http://www.salonsarka.lv/,info@salonsarka.lv,,"Valguma iela 10, Zemgales priekšpilsēta, Rīga, LV-1048, Latvija",,,,,,,,0,,,Nhà sản xuất đồ nội thất gỗ
12,SIA Reliņš,,,'26007722,http://www.relins.lv/,pasts@relins.lv,,"Pakalniešu iela 18, Vidzemes priekšpilsēta, Rīga, LV-1006, Latvija",,,,,,,,0,,,Xưởng mộc
13,Alnija,,,'29687521,,,,"Mūkusalas iela 45, Zemgales priekšpilsēta, Rīga, LV-1004, Latvija",,,,,,,,0,,,Thợ mộc
14,SIA INDIVIDUAL,,,'26102989,,,,"Jaunatnes iela 6, Valdlauči, Ķekavas pagasts, Ķekavas novads, LV-1076, Latvija",,,,,,,,0,,,Xưởng mộc
15,SIA Eksentra,,,'27577243,http://eksentra.com/,,,"Kandavas iela 41a, Kurzemes rajons, Rīga, LV-1083, Latvija",,,,,,,,0,,,Xưởng mộc
16,AL.DE.Mebel,,,'29794695,http://aldemebel.lv/,,,"Silikātu iela 7f, Kurzemes rajons, Rīga, LV-1016, Latvija",,,,,,,,0,,,Nhà sản xuất đồ nội thất gỗ
17,Rihards Liepkalns Galdniecība,,,'22003733,https://www.google.lv/url?sa=t&source=web&rct=j&url=https://www.instagram.com/rihards911/&ved=2ahUKEwiU98TUyMbbAhVPYVAKHeoMC7MQjjgwAHoECAEQAQ&usg=AOvVaw2GBO0NpkFDeBwiz8NtkgGS,,,"Ūnijas iela 24-79, Vidzemes priekšpilsēta, Rīga, LV-1084, Latvija",,,,,,,,0,,,Xưởng mộc
18,FORSETS | Mēbeles pēc pasūtījuma,,,'29476462,https://www.facebook.com/forsets,,,"Matīsa iela 92, Latgales priekšpilsēta, Rīga, LV-1009, Latvija",,,,,,,,0,,,Nhà sản xuất đồ nội thất gỗ
19,FORM galdniecība,,,'28346522,http://www.formgaldnieciba.lv/,,,"Tēraudlietuves iela 22, Vidzemes priekšpilsēta, Rīga, LV-1039, Latvija",,,,,,,,0,,,Thợ mộc
20,"Kokapstrādes darbnīca ""Garkalne""",,,'25152508,https://www.kdgarkalne.lv/,,,"Priežu iela 15c, Garkalne, Garkalnes pagasts, Ropažu novads, LV-2137, Latvija",,,,,,,,0,,,Xưởng mộc
